version,2,reserved,reserved,reserved,reserved,reserved,reserved
Team China,QLQLJV8,,JTJ,2R9RCV9V,,S7,
30,,,,,,,
2016/12/15,,,,,,,
1,Wryhorn,11,JQJQVL8Y,109,,11,107
2,MGK,11,2UUG9VG9,107,,11,103
3,Space12345,10,8002Y989,89,,11,103
4,CactusClan,10,2PQ89PQ82,89,,11,100
5,Darth Carlos,10,VJG8CCUG,89,,11,98
6,Sno,10,GQV9G9VV,89,,11,97
7,Chris,10,229YCRYQV,89,,11,97
8,SwuTangClan,10,8G9LVLP0,87,,11,96
9,Aboy,10,VQ9PUJV2,87,,10,83
10,Dang,10,R2RRRQ9Y,70,,10,81
11,Czech1Czech2,9,22CP2Y828,70,,10,81
12,Chop Chef Jr,9,82U9J8C,70,,10,79
13,Dirk N,9,8Y8V8J9C,70,,10,79
14,Corey,9,GLJRRGV9,70,,10,78
15,Batman,9,2QU9CC8,69,,11,72
16,UTiger13,9,2OVQLGRUJ,69,1,9,68
17,Eleazar,9,C8GRJVL0,69,,9,67
18,Ohio-Legend-216,9,29QLGYC9Q,69,,10,66
19,Jippieh Yeah,9,YCYV88UV,69,,9,66
20,Amagnus,9,JVQ8JPQV,69,,9,64
21,Whooboy,9,22UOVV2JJ,69,,9,64
22,Dada 1974,9,GQ0JCQJQ,69,,9,63
23,RedACE,9,GRJLGCUQ,68,,9,63
24,Captain America,9,G9YRJ09,68,,9,61
25,sharent,9,YGQQ89LR,68,,9,60
26,King Necto,9,V8QRQU9Y,68,,9,60
27,Michael,9,VU2V9CLV,68,,10,60
28,Swu2,9,ULYCYCRR,66,,9,57
29,Double G,9,JY8R9G9U,66,,9,56
30,Joe,9,LG9GQQJ8,66,,8,50
1,,,30,7,0,32,
2,3,100,13,16,,,
3,2,76,23,17,,,
4,,,28,3,2,68,
5,3,100,22,20,,,
6,3,100,11,14,,,
7,3,100,30,28,,,
8,2,68,14,21,,,
9,2,72,29,27,,,
10,3,100,16,22,,,
11,,,29,21,2,56,
12,,,27,11,2,53,
13,3,100,13,15,,,
14,3,100,25,25,,,
15,,,10,14,1,28,
16,3,100,11,17,,,
17,2,72,2,1,,,
18,3,100,29,30,,,
19,3,100,22,19,,,
20,3,100,23,18,,,
21,1,94,26,27,,,
22,3,100,30,29,,,
23,3,100,28,24,,,
24,3,100,16,23,,,
25,3,100,28,10,,,
26,,,26,21,1,44,
27,3,100,20,21,,,
28,1,92,26,26,,,
29,3,100,17,26,,,
30,,,11,14,0,0,
31,,,30,3,1,78,
32,3,100,2,4,,,
33,3,100,12,27,,,
34,3,100,17,14,,,
35,3,100,12,14,,,
36,,,24,11,1,47,
37,2,77,20,13,,,
38,2,74,15,13,,,
39,3,100,15,20,,,
40,3,100,3,8,,,
41,,,11,7,0,32,
42,2,60,25,12,,,
43,3,100,27,22,,,
44,2,86,3,7,,,
45,3,100,27,14,,,
46,,,25,10,2,66,
47,,,26,10,2,65,
48,1,55,21,5,,,
49,,,23,22,1,32,
50,2,64,21,9,,,
51,3,100,9,6,,,
52,2,58,14,11,,,
53,3,100,5,9,,,
54,1,69,7,5,,,
55,3,100,18,14,,,
56,3,100,5,5,,,
57,3,100,9,13,,,
58,2,59,8,3,,,
59,1,51,18,11,,,
60,1,56,7,2,,,
61,3,100,24,14,,,
62,3,100,10,13,,,
63,3,100,24,30,,,
64,3,100,6,12,,,
65,3,100,8,7,,,
66,1,54,10,1,,,
67,2,54,6,14,,,
68,1,59,19,17,,,
69,3,100,1,11,,,
70,3,100,19,10,,,
71,3,100,4,14,,,
72,2,78,1,2,,,
73,3,100,4,30,,,
