version,2,reserved,reserved,reserved,reserved,reserved,reserved
The Italian Line,GYURCJ8G,,JTJ,2R9RCV9V,,S7,
30,,,,,,,
2016/12/21,,,,,,,
1,Wryhorn,11,JQJQVL8Y,108,1,11,108
2,MGK,11,2UUG9VG9,102,1,11,108
3,Space12345,10,8002Y989,89,1,10,89
4,Darth Carlos,10,VJG8CCUG,89,1,10,89
5,Chris,10,229YCRYQV,89,1,10,88
6,SwuTangClan,10,8G9LVLP0,87,1,10,88
7,Aboy,10,VQ9PUJV2,86,,10,87
8,Nato,10,2PQ9OVQOV,85,,10,86
9,Czech1Czech2,9,22CP2Y828,70,1,9,70
10,DCME,9,22P9QCORV,70,1,9,70
11,Slim Shady,9,202VRUP9G,70,1,9,70
12,Chop Chef Jr,9,82U9J8C,70,1,9,70
13,Dirk N,9,8Y8V8J9C,70,1,9,70
14,Corey,9,GLJRRGV9,70,1,9,70
15,UTiger13,9,2OVQLGRUJ,69,1,9,70
16,Batman,9,2QU9CC8,69,1,9,70
17,Eleazar,9,C8GRJVL0,69,1,9,70
18,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,70
19,Mr. Pizza,9,LU2L8JUV,69,1,9,70
20,Amagnus,9,JVQ8JPQV,69,1,9,69
21,Whooboy,9,22UOVV2JJ,69,1,9,69
22,Lacey Clan,9,R08YP9Q8,69,1,9,69
23,RedACE,9,GRJLGCUQ,68,1,9,69
24,King Necto,9,V8QRQU9Y,68,1,9,69
25,Michael,9,VU2V9CLV,68,1,9,69
26,Leah's Daddy Time,9,2YQ00J0CR,67,1,9,69
27,Aleister Crowle,9,Q9922RUU,66,1,9,69
28,Joe,9,LG9GQQJ8,66,1,9,69
29,Double G,9,JY8R9G9U,66,,9,68
30,Poz,9,PPRYLOUY,66,,9,67
1,,,20,17,2,88,
2,,,9,25,3,100,
3,2,97,28,21,,,
4,,,16,14,1,97,
5,,,19,17,3,100,
6,2,99,29,30,,,
7,,,15,30,3,100,
8,,,11,23,3,100,
9,,,12,27,2,99,
10,,,26,14,3,100,
11,,,10,25,3,100,
12,,,20,30,3,100,
13,,,14,18,3,100,
14,,,13,27,3,100,
15,,,22,23,1,90,
16,2,76,28,15,,,
17,0,29,29,2,,,
18,,,17,18,3,100,
19,2,65,22,28,,,
20,2,81,9,9,,,
21,2,99,10,12,,,
22,,,16,9,0,24,
23,,,23,9,3,100,
24,2,68,22,20,,,
25,3,100,30,30,,,
26,3,100,23,9,,,
27,3,100,14,15,,,
28,3,100,11,13,,,
29,3,100,14,20,,,
30,,,22,24,3,100,
31,3,100,19,22,,,
32,3,100,13,19,,,
33,3,100,30,29,,,
34,,,12,24,3,100,
35,2,97,2,4,,,
36,2,79,2,2,,,
37,3,100,19,18,,,
38,3,100,23,11,,,
39,3,100,13,16,,,
40,,,25,19,3,100,
41,,,18,26,2,91,
42,2,99,26,24,,,
43,2,57,26,23,,,
44,,,29,29,3,100,
45,,,30,21,3,100,
46,2,77,24,25,,,
47,1,55,27,1,,,
48,2,67,27,3,,,
49,,,16,10,3,100,
50,3,100,20,24,,,
51,,,27,19,3,100,
52,,,28,26,2,90,
53,,,21,16,2,93,
54,,,28,20,3,100,
55,,,3,11,1,49,
56,3,100,18,17,,,
57,1,76,10,21,,,
58,2,81,25,26,,,
59,3,100,16,27,,,
60,3,100,18,25,,,
61,,,3,6,2,92,
62,2,76,11,10,,,
63,,,18,28,0,28,
64,,,21,11,3,100,
65,,,7,29,1,56,
66,2,82,16,21,,,
67,,,2,22,1,64,
68,,,24,15,1,83,
69,,,5,21,2,71,
70,,,24,12,2,79,
71,,,4,16,2,50,
72,3,100,25,21,,,
73,,,6,28,1,37,
74,3,100,12,26,,,
75,3,100,15,28,,,
76,,,18,10,2,78,
77,,,18,12,2,80,
78,,,7,5,2,81,
79,,,18,20,2,99,
80,3,100,21,14,,,
81,,,24,22,3,100,
82,,,8,13,2,67,
83,,,18,15,2,94,
84,3,100,17,23,,,
85,2,66,24,7,,,
86,3,100,21,12,,,
87,2,67,8,1,,,
88,,,4,1,2,75,
89,2,86,17,10,,,
90,1,46,12,5,,,
91,,,1,13,0,49,
92,,,1,3,2,57,
93,2,89,20,10,,,
94,3,100,8,10,,,
95,,,18,7,3,100,
96,2,53,15,8,,,
97,,,8,6,3,100,
98,2,76,5,8,,,
99,1,74,6,7,,,
100,2,71,4,8,,,
101,,,7,8,1,74,
102,,,2,4,0,30,
103,,,6,2,3,100,
104,2,73,5,7,,,
105,2,88,4,7,,,
106,2,96,6,8,,,
107,,,2,2,3,100,
108,2,99,3,8,,,
109,,,3,5,2,56,
110,3,100,1,5,,,
111,1,59,3,7,,,
112,,,3,8,1,61,
113,,,3,4,3,100,
114,1,78,7,8,,,
115,,,5,1,1,74,
116,,,7,3,1,64,
117,,,7,7,1,52,
118,2,80,1,6,,,
119,2,58,9,6,,,
120,1,55,7,7,,,
