version,2,reserved,reserved,reserved,reserved,reserved,reserved
Red Line,CPYGJ99,,JTJ,2R9RCV9V,,S7,
30,,,,,,,
2016/12/24,,,,,,,
1,Wryhorn,11,JQJQVL8Y,108,1,11,108
2,Space12345,10,8002Y989,89,1,11,108
3,CactusClan,10,2PQ89PQ82,89,1,10,89
4,Darth Carlos,10,VJG8CCUG,89,1,10,89
5,Chris,10,229YCRYQV,89,1,10,88
6,Sno,10,GQV9G9VV,88,1,10,88
7,SwuTangClan,10,8G9LVLP0,87,1,10,88
8,Aboy,10,VQ9PUJV2,86,,10,86
9,ThatAmagnus,10,GPGQC89C,85,,10,85
10,Dang,10,R2RRRQ9Y,70,,10,78
11,Czech1Czech2,9,22CP2Y828,70,1,9,70
12,DCME,9,22P9QCORV,70,1,9,70
13,Chop Chef Jr,9,82U9J8C,70,1,9,70
14,Dirk N,9,8Y8V8J9C,70,1,9,70
15,UTiger13,9,2OVQLGRUJ,70,1,9,69
16,Batman,9,2QU9CC8,69,1,9,69
17,Eleazar,9,C8GRJVL0,69,1,9,69
18,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,69
19,Mr. Pizza,9,LU2L8JUV,69,1,9,69
20,Jippieh Yeah,9,YCYV88UV,69,1,9,69
21,Amagnus,9,JVQ8JPQV,69,1,9,69
22,Whooboy,9,22UOVV2JJ,69,1,9,69
23,Lacey Clan,9,R08YP9Q8,69,1,9,69
24,Dada 1974,9,GQ0JCQJQ,69,1,9,69
25,RedACE,9,GRJLGCUQ,68,,9,67
26,King Necto,9,V8QRQU9Y,68,,9,66
27,Leah's Daddy Time,9,2YQ00J0CR,67,,9,65
28,Swu2,9,ULYCYCRR,67,,9,64
29,Aleister Crowle,9,Q9922RUU,66,,9,59
30,Poz,9,PPRYLOUY,66,,10,43
1,,,14,11,3,100,
2,,,29,26,3,100,
3,,,27,28,3,100,
4,,,28,27,1,53,
5,,,28,28,2,66,
6,,,28,26,3,100,
7,,,11,23,3,100,
8,,,19,21,3,100,
9,,,30,30,1,45,
10,1,52,12,20,,,
11,,,1,7,1,50,
12,3,100,23,28,,,
13,2,89,13,18,,,
14,,,12,13,2,99,
15,,,2,30,0,39,
16,3,100,30,29,,,
17,1,67,14,11,,,
18,3,100,26,26,,,
19,,,18,18,2,65,
20,1,50,23,25,,,
21,1,82,22,20,,,
22,,,15,14,2,91,
23,1,68,5,8,,,
24,3,100,18,11,,,
25,3,100,30,27,,,
26,,,13,11,1,68,
27,,,24,16,2,98,
28,3,100,27,30,,,
29,1,55,5,1,,,
30,2,82,14,18,,,
31,2,69,19,21,,,
32,,,30,29,3,100,
33,3,100,11,12,,,
34,,,17,12,2,91,
35,,,15,20,2,99,
36,1,56,29,23,,,
37,2,82,28,22,,,
38,3,100,11,15,,,
39,2,77,19,23,,,
40,,,9,6,1,89,
41,2,93,25,13,,,
42,2,57,28,3,,,
43,,,2,1,3,100,
44,,,21,20,1,89,
45,3,100,21,18,,,
46,2,83,17,25,,,
47,2,91,27,24,,,
48,2,77,16,24,,,
49,2,78,17,16,,,
50,1,65,29,25,,,
51,,,21,14,3,100,
52,2,98,16,14,,,
53,,,13,19,3,100,
54,0,49,4,1,,,
55,,,10,9,3,100,
56,,,12,19,3,100,
57,1,49,4,2,,,
58,,,1,4,1,48,
59,,,20,23,2,89,
60,,,20,17,2,82,
61,2,69,20,14,,,
62,,,23,22,3,100,
63,1,91,18,16,,,
64,,,17,18,2,75,
65,,,25,17,3,100,
66,1,63,24,19,,,
67,3,100,22,13,,,
68,,,7,2,3,100,
69,,,22,12,3,100,
70,,,15,13,3,100,
71,,,26,15,2,98,
72,3,100,26,25,,,
73,,,17,22,1,72,
74,,,24,25,2,67,
75,,,5,5,1,46,
76,2,89,24,22,,,
77,3,100,15,21,,,
78,1,57,12,22,,,
79,,,18,21,1,55,
80,,,3,1,3,100,
81,,,26,25,2,85,
82,,,9,2,3,100,
83,2,99,13,24,,,
84,,,16,9,3,100,
85,3,100,25,22,,,
86,2,71,15,19,,,
87,2,54,6,4,,,
88,,,20,15,3,100,
89,,,6,27,2,53,
90,3,100,10,17,,,
91,,,26,16,0,0,
92,,,17,10,3,100,
93,3,100,6,20,,,
94,,,8,7,3,100,
95,,,26,29,2,65,
96,2,95,21,24,,,
97,3,100,10,16,,,
98,,,26,24,3,100,
99,,,18,8,3,100,
100,,,24,24,1,65,
101,1,91,8,10,,,
102,3,100,1,5,,,
103,,,5,8,2,53,
104,1,59,8,7,,,
105,,,24,10,2,73,
106,3,100,2,9,,,
107,3,100,7,10,,,
108,,,4,4,2,64,
109,1,82,2,8,,,
110,,,24,3,3,100,
111,,,6,6,2,54,
112,3,100,3,24,,,
113,,,1,3,0,27,
114,0,37,7,7,,,
115,,,1,5,0,49,
116,3,100,1,6,,,
117,3,100,20,23,,,
118,2,61,9,8,,,
119,0,0,9,2,,,
120,2,73,3,7,,,
