version,2,reserved,reserved,reserved,reserved,reserved,reserved
The Wild Boys,GYVL2OO,,JTJ,2R9RCV9V,,S7,
30,,,,,,,
2016/12/27,,,,,,,
1,Wryhorn,11,JQJQVL8Y,108,,11,106
2,NHHung,11,UJLUU9CR,108,,11,99
3,CactusClan,10,2PQ89PQ82,89,,11,98
4,Space12345,10,8002Y989,89,,11,98
5,Chris,10,229YCRYQV,89,,11,97
6,Sno,10,GQV9G9VV,88,,11,97
7,Atlas,10,RJ9PJ9CC,88,,11,97
8,SwuTangClan,10,8G9LVLP0,87,,11,96
9,Aboy,10,VQ9PUJV2,86,,11,95
10,Tim66,10,GVC8V9G9,86,1,10,87
11,ThatAmagnus,10,GPGQC89C,86,,10,84
12,Corey,10,GLJRRGV9,70,,10,83
13,Dang,10,R2RRRQ9Y,70,,10,81
14,Czech1Czech2,9,22CP2Y828,70,,11,81
15,UTiger13,9,2OVQLGRUJ,70,,10,80
16,Chop Chef Jr,9,82U9J8C,70,,10,79
17,Dirk N,9,8Y8V8J9C,70,,10,77
18,Batman,9,2QU9CC8,69,,10,73
19,Mr. Pizza,9,LU2L8JUV,69,,10,72
20,Ohio-Legend-216,9,29QLGYC9Q,69,,10,72
21,Jippieh Yeah,9,YCYV88UV,69,,9,67
22,Whooboy,9,22UOVV2JJ,69,,9,66
23,Lacey Clan,9,R08YP9Q8,69,,9,65
24,Captain America,9,G9YRJ09,68,,9,64
25,RedACE,9,GRJLGCUQ,68,,9,63
26,King Necto,9,V8QRQU9Y,68,,9,63
27,Aleister Crowle,9,Q9922RUU,66,,9,63
28,testnameignore,9,2GJJCV9QV,66,,9,62
29,Joe,9,LG9GQQJ8,66,,9,62
30,Poz,9,PPRYLOUY,66,,9,62
1,,,12,4,2,54,
2,,,25,14,0,45,
3,,,30,30,2,69,
4,3,100,17,22,,,
5,,,8,1,1,44,
6,3,100,30,28,,,
7,,,26,30,1,47,
8,3,100,17,23,,,
9,,,25,1,2,73,
10,,,24,7,2,72,
11,2,71,16,21,,,
12,3,100,30,25,,,
13,,,13,16,2,74,
14,3,100,26,29,,,
15,3,100,29,26,,,
16,,,5,3,1,42,
17,3,100,15,20,,,
18,1,80,16,24,,,
19,3,100,28,27,,,
20,1,72,14,17,,,
21,,,17,24,1,29,
22,,,18,24,1,2,
23,,,22,28,1,49,
24,,,23,19,2,66,
25,,,21,28,1,20,
26,,,14,15,2,59,
27,2,81,14,24,,,
28,,,9,11,0,39,
29,,,20,5,2,67,
30,3,100,15,19,,,
31,3,100,28,30,,,
32,3,100,5,4,,,
33,,,19,14,2,64,
34,1,94,26,21,,,
35,3,100,22,21,,,
36,2,65,19,14,,,
37,,,29,5,1,51,
38,,,26,8,2,50,
39,3,100,19,24,,,
40,2,74,20,17,,,
41,,,16,8,2,56,
42,3,100,7,15,,,
43,2,93,27,13,,,
44,3,100,20,18,,,
45,1,62,27,3,,,
46,3,100,18,5,,,
47,,,15,10,2,84,
48,,,22,27,2,58,
49,,,11,16,1,42,
50,2,94,8,3,,,
51,,,28,10,3,100,
52,,,27,7,2,64,
53,,,5,2,1,40,
54,,,17,21,2,58,
55,,,21,19,1,49,
56,,,18,12,2,85,
57,,,10,3,2,52,
58,1,99,22,17,,,
59,,,7,18,1,30,
60,,,29,2,2,58,
61,2,71,9,7,,,
62,,,3,11,1,46,
63,2,87,8,2,,,
64,2,57,23,16,,,
65,2,52,24,6,,,
66,2,90,10,10,,,
67,2,85,18,9,,,
68,1,94,5,9,,,
69,1,63,23,11,,,
70,,,9,4,0,39,
71,,,21,15,2,51,
72,3,100,7,12,,,
73,2,86,6,16,,,
74,3,100,25,17,,,
75,,,9,12,0,46,
76,3,100,10,9,,,
77,1,73,25,16,,,
78,3,100,11,14,,,
79,,,11,13,0,33,
80,1,45,24,8,,,
81,2,92,12,8,,,
82,,,9,9,1,38,
83,3,100,29,19,,,
84,1,41,12,1,,,
85,1,63,4,10,,,
86,,,6,17,0,34,
87,,,8,13,1,30,
88,1,53,9,11,,,
89,,,6,9,0,33,
90,3,100,3,16,,,
91,3,100,6,7,,,
92,,,11,21,2,64,
93,2,95,4,11,,,
94,,,7,17,1,19,
95,2,71,2,2,,,
96,1,41,2,1,,,
97,2,99,11,8,,,
98,1,73,3,3,,,
99,1,49,1,1,,,
100,3,100,13,13,,,
101,3,100,21,13,,,
102,,,30,20,1,60,
103,3,100,21,20,,,
104,2,87,1,2,,,
105,0,48,13,1,,,
106,,,26,20,1,40,
