version,2,reserved,reserved,reserved,reserved,reserved,reserved
Line No 2,PQCQUQLG,,JTJ,2R9RCV9V,,S7,
30,,,,,,,
2016/12/29,,,,,,,
1,Wryhorn,11,JQJQVL8Y,108,,11,107
2,NHHung,11,UJLUU9CR,108,,11,105
3,CactusClan,10,2PQ89PQ82,89,,11,104
4,Space12345,10,8002Y989,89,,11,100
5,Chris,10,229YCRYQV,89,,11,90
6,Sno,10,GQV9G9VV,88,,10,88
7,Aboy,10,VQ9PUJV2,86,,10,87
8,Tim66,10,GVC8V9G9,86,,10,84
9,ThatAmagnus,10,GPGQC89C,86,,10,84
10,Nato,10,2PQ9OVQOV,85,,10,82
11,Corey,10,GLJRRGV9,70,,10,74
12,Dang,10,R2RRRQ9Y,70,,10,72
13,Czech1Czech2,9,22CP2Y828,70,,10,72
14,UTiger13,9,2OVQLGRUJ,70,,10,70
15,Chop Chef Jr,9,82U9J8C,70,,10,70
16,Dirk N,9,8Y8V8J9C,70,,10,70
17,Mr. Pizza,9,LU2L8JUV,70,,10,69
18,Batman,9,2QU9CC8,69,,10,69
19,Jippieh Yeah,9,YCYV88UV,69,,9,68
20,Amagnus,9,JVQ8JPQV,69,,9,68
21,Whooboy,9,22UOVV2JJ,69,,10,67
22,Lacey Clan,9,R08YP9Q8,69,,10,66
23,Captain America,9,G9YRJ09,68,,10,66
24,RedACE,9,GRJLGCUQ,68,,10,66
25,king necto,9,V8QRQU9Y,68,,10,66
26,Swu2,9,ULYCYCRR,67,,10,65
27,Aleister Crowle,9,Q9922RUU,66,,9,65
28,testnameignore,9,2GJJCV9QV,66,,10,65
29,Joe,9,LG9GQQJ8,66,,10,56
30,Poz,9,PPRYLOUY,66,,10,38
1,3,100,28,26,,,
2,3,100,16,19,,,
3,2,88,22,28,,,
4,3,100,25,27,,,
5,1,91,14,21,,,
6,3,100,29,29,,,
7,2,98,16,18,,,
8,3,100,26,30,,,
9,,,2,2,1,42,
10,3,100,17,22,,,
11,3,100,26,24,,,
12,,,18,25,2,80,
13,2,97,2,5,,,
14,2,78,5,9,,,
15,,,17,14,2,99,
16,,,11,11,2,99,
17,2,80,27,25,,,
18,0,27,27,2,,,
19,2,89,20,18,,,
20,,,22,17,2,93,
21,1,57,17,16,,,
22,,,12,11,2,86,
23,,,14,10,2,94,
24,,,5,1,2,63,
25,2,72,18,21,,,
26,3,100,23,28,,,
27,,,29,26,3,100,
28,,,25,21,2,89,
29,3,100,23,21,,,
30,,,16,16,3,100,
31,2,78,25,23,,,
32,,,6,4,1,47,
33,,,30,24,2,99,
34,3,100,18,23,,,
35,0,46,28,8,,,
36,,,13,12,2,99,
37,,,21,17,3,100,
38,,,15,12,2,90,
39,3,100,21,20,,,
40,,,28,24,3,100,
41,2,81,21,17,,,
42,,,9,4,2,66,
43,3,100,11,16,,,
44,,,20,9,3,100,
45,3,100,30,15,,,
46,,,19,14,1,33,
47,,,27,26,3,100,
48,,,26,21,2,66,
49,,,19,9,2,99,
50,1,71,22,14,,,
51,,,24,23,1,69,
52,3,100,15,25,,,
53,,,23,18,2,89,
54,3,100,11,17,,,
55,2,78,2,7,,,
56,2,68,15,13,,,
57,3,100,30,18,,,
58,3,100,20,14,,,
59,1,65,14,12,,,
60,1,55,6,2,,,
61,1,39,29,6,,,
62,2,91,7,10,,,
63,,,30,27,2,94,
64,2,71,24,12,,,
65,1,73,24,13,,,
66,2,98,4,8,,,
67,2,50,12,11,,,
68,1,59,4,6,,,
69,2,54,8,2,,,
70,3,100,12,13,,,
71,,,7,7,2,67,
72,2,53,19,6,,,
73,1,55,8,3,,,
74,2,52,7,4,,,
75,1,78,13,12,,,
76,1,50,6,1,,,
77,,,3,3,2,57,
78,1,56,13,3,,,
79,2,75,19,12,,,
80,2,84,9,3,,,
81,,,30,29,3,100,
82,,,23,28,3,100,
83,,,26,30,2,79,
84,,,4,5,2,85,
85,,,8,6,2,55,
86,,,26,18,3,100,
87,3,100,3,12,,,
88,,,24,8,2,72,
89,,,10,3,2,82,
90,,,25,13,3,100,
91,,,22,27,1,54,
92,0,49,1,1,,,
93,,,17,13,2,97,
94,3,100,5,8,,,
95,2,99,3,11,,,
96,,,19,16,2,72,
97,,,24,29,3,100,
98,3,100,9,11,,,
99,1,77,10,10,,,
100,,,6,6,0,32,
101,,,19,28,2,89,
102,0,47,10,1,,,
103,2,94,1,5,,,
104,,,6,5,1,54,
