version,2,reserved,reserved,reserved,reserved,reserved,reserved
Crystal Warrior,P8YUYJC,,JTJ,2R9RCV9V,,S7,
30,,,,,,,
2016/12/31,,,,,,,
1,Wryhorn,11,JQJQVL8Y,108,,11,109
2,DarkEagle,11,2G9LL09U,108,,11,108
3,CactusClan,10,2PQ89PQ82,89,,11,108
4,Dirk D,10,8020PLU8,89,,10,89
5,Space12345,10,8002Y989,89,,10,89
6,Chris,10,229YCRYQV,89,,10,88
7,Aboy,10,VQ9PUJV2,87,,10,88
8,SwuTangClan,10,8G9LVLP0,87,,10,88
9,Tim66,10,GVC8V9G9,86,,10,87
10,ThatAmagnus,10,GPGQC89C,86,,10,87
11,Nato,10,2PQ9OVQOV,86,,9,70
12,Corey,10,GLJRRGV9,70,,9,70
13,Eleazar,10,C8GRJVL0,70,,9,70
14,Czech1Czech2,9,22CP2Y828,70,,9,70
15,UTiger13,9,2OVQLGRUJ,70,,9,70
16,Chop Chef Jr,9,82U9J8C,70,,9,70
17,Dirk N,9,8Y8V8J9C,70,,9,70
18,Mr. Pizza,9,LU2L8JUV,70,,9,69
19,Batman,9,2QU9CC8,69,,9,69
20,Ohio-Legend-216,9,29QLGYC9Q,69,,9,69
21,Jippieh Yeah,9,YCYV88UV,69,,9,69
22,Lacey Clan,9,R08YP9Q8,69,,9,69
23,RedACE,9,GRJLGCUQ,68,,9,69
24,King Necto,9,V8QRQU9Y,68,,9,69
25,Swu2,9,ULYCYCRR,67,,9,69
26,testnameignore,9,2GJJCV9QV,67,,9,69
27,Aleister Crowle,9,Q9922RUU,66,,9,69
28,Joe,9,LG9GQQJ8,66,,9,69
29,Double G,9,JY8R9G9U,66,,9,69
30,Poz,9,PPRYLOUY,66,,9,67
1,,,18,18,3,100,
2,3,100,29,29,,,
3,3,100,28,26,,,
4,,,2,5,0,32,
5,,,20,18,2,90,
6,2,77,29,30,,,
7,3,100,17,15,,,
8,,,24,20,2,53,
9,,,27,27,3,100,
10,2,75,28,24,,,
11,,,1,6,1,49,
12,2,53,25,5,,,
13,,,26,11,3,100,
14,,,1,5,1,57,
15,,,16,17,2,78,
16,,,22,23,1,75,
17,,,29,21,3,100,
18,1,89,18,24,,,
19,2,50,25,4,,,
20,,,25,27,2,93,
21,,,20,11,3,100,
22,3,100,17,16,,,
23,1,46,24,6,,,
24,0,39,30,30,,,
25,2,87,18,23,,,
26,,,15,12,3,100,
27,,,19,29,3,100,
28,,,23,20,3,100,
29,0,31,27,1,,,
30,,,14,29,3,100,
31,,,28,21,3,100,
32,2,81,26,30,,,
33,,,30,16,3,100,
34,1,47,26,6,,,
35,3,100,20,23,,,
36,,,16,13,3,100,
37,,,24,23,3,100,
38,,,17,17,1,76,
39,,,22,13,2,99,
40,1,73,27,30,,,
41,,,2,4,2,62,
42,,,25,16,2,85,
43,1,69,13,25,,,
44,2,82,19,22,,,
45,3,100,19,14,,,
46,,,21,28,3,100,
47,,,25,28,2,87,
48,0,37,22,3,,,
49,,,17,15,3,100,
50,,,25,15,3,100,
51,,,12,6,3,100,
52,,,6,26,2,61,
53,,,22,22,3,100,
54,,,9,26,1,49,
55,,,11,25,2,63,
56,,,1,7,0,48,
57,,,8,25,2,50,
58,3,100,12,25,,,
59,,,9,24,0,12,
60,,,13,22,2,53,
61,,,9,7,2,83,
62,,,4,24,1,47,
63,2,82,12,18,,,
64,3,100,21,22,,,
65,,,13,12,3,100,
66,2,90,22,28,,,
67,,,1,8,0,42,
68,2,93,30,27,,,
69,2,62,24,30,,,
70,,,1,4,2,58,
71,1,88,20,17,,,
72,,,10,10,0,10,
73,2,89,16,21,,,
74,,,9,10,2,68,
75,2,95,15,28,,,
76,3,100,11,12,,,
77,2,67,23,28,,,
78,3,100,16,27,,,
79,3,100,11,11,,,
80,3,100,23,30,,,
81,,,3,3,2,73,
82,2,65,15,24,,,
83,3,100,13,21,,,
84,1,45,9,3,,,
85,3,100,3,20,,,
86,,,5,3,3,100,
87,,,9,9,3,100,
88,,,7,14,2,74,
89,2,71,21,24,,,
90,3,100,9,19,,,
91,1,76,3,13,,,
92,1,56,8,8,,,
93,,,10,14,2,66,
94,2,81,14,28,,,
95,0,46,6,1,,,
96,0,42,8,3,,,
97,1,69,7,9,,,
98,3,100,4,18,,,
99,2,88,14,17,,,
100,3,100,6,10,,,
101,2,71,7,7,,,
102,,,4,1,2,91,
103,2,63,10,8,,,
104,0,23,4,1,,,
105,,,3,1,3,100,
106,,,4,2,3,100,
107,1,60,1,1,,,
108,3,100,5,13,,,
109,,,6,2,2,64,
110,3,100,2,9,,,
111,2,69,5,6,,,
112,,,10,9,1,90,
113,0,34,10,2,,,
114,2,71,1,2,,,
115,2,68,2,5,,,
116,,,11,8,2,76,
