version,2,reserved,reserved,reserved,reserved,reserved,reserved
Broken Army,9GP2QRPL,,JTJ,2R9RCV9V,,S8,
30,,,,,,,
2017/01/04,,,,,,,
1,Wryhorn,11,JQJQVL8Y,109,1,11,108
2,DarkEagle,11,2G9LL09U,109,1,11,108
3,CactusClan,10,2PQ89PQ82,89,1,10,89
4,Space12345,10,8002Y989,89,1,10,88
5,Chris,10,229YCRYQV,89,1,10,88
6,Sno,10,GQV9G9VV,89,1,10,87
7,Aboy,10,VQ9PUJV2,87,1,10,87
8,SwuTangClan,10,8G9LVLP0,87,,10,86
9,Tim66,10,GVC8V9G9,86,1,9,69
10,ThatAmagnus,10,GPGQC89C,86,1,9,69
11,UTiger13,9,2OVQLGRUJ,70,,9,68
12,Chop Chef Jr,9,82U9J8C,70,,9,68
13,Dirk N,9,8Y8V8J9C,70,,9,68
14,Ohio-Legend-216,9,29QLGYC9Q,70,,9,68
15,Mr. Pizza,9,LU2L8JUV,70,,9,68
16,Batman,9,2QU9CC8,69,,9,68
17,Jippieh Yeah,9,YCYV88UV,69,,9,68
18,Amagnus,9,JVQ8JPQV,69,,9,68
19,Whooboy,9,22UOVV2JJ,69,,9,68
20,Dada 1974,9,GQ0JCQJQ,69,,9,67
21,CJ,9,QUR20CPC,69,,9,67
22,Korg,9,RPCUV9U0,68,,9,67
23,RedACE,9,GRJLGCUQ,68,,9,67
24,King Necto,9,V8QRQU9Y,68,,9,67
25,Leah's Daddy Time,9,2YQ00J0CR,67,,9,66
26,Swu2,9,ULYCYCRR,67,,9,66
27,Aleister Crowle,9,Q9922RUU,66,,9,64
28,Joe,9,LG9GQQJ8,66,,9,63
29,Double G,9,JY8R9G9U,66,,9,61
30,Poz,9,PPRYLOUY,66,,9,61
1,3,100,29,25,,,
2,3,100,22,26,,,
3,1,86,13,15,,,
4,2,88,28,22,,,
5,,,18,15,1,63,
6,2,91,15,16,,,
7,3,100,30,30,,,
8,,,14,14,2,60,
9,3,100,26,27,,,
10,3,100,28,24,,,
11,3,100,13,17,,,
12,3,100,26,28,,,
13,3,100,15,23,,,
14,3,100,29,29,,,
15,1,71,27,7,,,
16,3,100,25,21,,,
17,1,56,27,5,,,
18,3,100,18,12,,,
19,2,90,21,19,,,
20,3,100,14,9,,,
21,1,85,18,18,,,
22,2,96,8,7,,,
23,1,60,8,5,,,
24,,,30,26,0,15,
25,,,26,26,2,82,
26,2,90,16,11,,,
27,,,19,14,2,64,
28,,,16,16,2,68,
29,,,24,24,2,65,
30,3,100,20,20,,,
31,3,100,16,22,,,
32,2,80,20,14,,,
33,,,27,24,2,99,
34,,,22,15,2,50,
35,0,30,24,2,,,
36,,,11,9,3,100,
37,,,12,25,3,100,
38,,,1,1,2,61,
39,,,13,25,3,100,
40,,,2,1,2,71,
41,,,20,20,2,60,
42,,,30,30,2,85,
43,2,93,12,15,,,
44,2,88,11,11,,,
45,,,17,17,2,68,
46,,,8,6,2,89,
47,,,29,23,2,94,
48,,,18,16,1,75,
49,,,25,18,1,63,
50,,,18,12,2,88,
51,2,81,21,18,,,
52,3,100,19,15,,,
53,1,52,22,8,,,
54,2,94,19,16,,,
55,1,95,14,19,,,
56,2,98,11,18,,,
57,2,88,25,19,,,
58,3,100,12,11,,,
59,1,90,4,8,,,
60,,,25,20,2,59,
61,1,59,4,6,,,
62,3,100,17,16,,,
63,,,10,8,2,56,
64,2,99,17,19,,,
65,2,75,24,18,,,
66,3,100,23,19,,,
67,3,100,23,18,,,
68,,,4,4,0,41,
69,2,57,9,6,,,
70,,,7,7,2,78,
71,,,6,5,2,64,
72,,,3,2,2,81,
73,,,4,2,3,100,
74,3,100,6,10,,,
75,0,45,7,2,,,
76,,,21,13,3,100,
77,0,41,7,1,,,
78,,,9,4,2,59,
79,,,28,27,1,71,
80,3,100,2,4,,,
81,3,100,30,14,,,
82,,,23,12,2,78,
83,0,47,6,1,,,
84,3,100,1,3,,,
85,,,28,10,2,52,
86,,,29,29,2,56,
87,,,26,10,2,56,
88,1,76,5,8,,,
89,2,53,10,2,,,
90,2,77,2,5,,,
91,,,29,30,1,39,
92,,,5,3,2,52,
93,1,90,3,13,,,
94,,,15,13,2,74,
95,,,15,8,2,98,
96,2,80,9,13,,,
97,2,97,5,13,,,
98,,,10,7,2,95,
99,,,16,9,2,55,
100,1,78,3,8,,,
101,2,56,1,1,,,
102,,,14,6,3,100,
103,3,100,10,13,,,
