version,2,reserved,reserved,reserved,reserved,reserved,reserved
Die Saubazis,9Y2RURLQ,,JTJ,2R9RCV9V,,LEAGUE,
25,,,,,,,
2017/01/06,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,,11,110
2,DarthCarlos11,11,RVQRQL2Y,110,,11,110
3,Space12345,10,8002Y989,90,,10,90
4,Chris,10,229YCRYQV,90,,10,90
5,Sno,10,GQV9G9VV,90,,10,90
6,Aboy,10,VQ9PUJV2,90,,10,90
7,SwuTangClan,10,8G9LVLP0,90,,10,90
8,UTiger13,9,2OVQLGRUJ,70,,9,70
9,Chop Chef Jr,9,82U9J8C,70,,9,70
10,Dirk N,9,8Y8V8J9C,70,,9,70
11,Ohio-Legend-216,9,29QLGYC9Q,70,,9,70
12,Mr. Pizza,9,LU2L8JUV,70,,9,70
13,Batman,9,2QU9CC8,70,,9,70
14,Jippieh Yeah,9,YCYV88UV,70,,9,70
15,Amagnus,9,JVQ8JPQV,70,,9,70
16,Whooboy,9,22UOVV2JJ,70,,9,70
17,Dada 1974,9,GQ0JCQJQ,70,,9,70
18,Captain America,9,G9YRJ09,70,,9,70
19,RedACE,9,GRJLGCUQ,70,,9,70
20,Avra's Secret,9,28LYQPRG,70,,9,70
21,King Necto,9,V8QRQU9Y,70,,9,70
22,Leah's Daddy Time,9,2YQ00J0CR,70,,9,70
23,Joe,9,LG9GQQJ8,70,,9,70
24,Double G,9,JY8R9G9U,70,,9,70
25,Poz,9,PPRYLOUY,70,,9,70
1,,,8,11,1,75,
2,,,16,17,2,66,
3,,,12,9,2,74,
4,2,94,13,15,,,
5,,,24,22,1,97,
6,,,25,21,3,100,
7,,,11,10,3,100,
8,,,17,19,3,100,
9,,,16,9,3,100,
10,2,94,18,15,,,
11,,,13,14,2,86,
12,,,10,18,2,67,
13,,,24,21,2,97,
14,,,13,19,1,76,
15,,,12,11,2,94,
16,,,15,10,2,72,
17,,,9,8,3,100,
18,,,8,17,3,100,
19,,,19,14,3,100,
20,1,80,24,25,,,
21,,,15,22,2,85,
22,2,85,24,23,,,
23,2,58,10,16,,,
24,3,100,16,16,,,
25,2,84,10,14,,,
26,3,100,20,14,,,
27,2,90,12,18,,,
28,2,90,25,25,,,
29,1,85,21,24,,,
30,3,100,20,13,,,
31,2,77,12,12,,,
32,3,100,18,12,,,
33,2,74,25,24,,,
34,1,89,22,17,,,
35,2,95,22,24,,,
36,2,98,11,17,,,
37,,,20,16,2,82,
38,,,21,20,2,79,
39,,,20,20,3,100,
40,2,97,9,24,,,
41,,,18,24,1,86,
42,,,23,25,2,98,
43,,,23,24,3,100,
44,3,100,13,23,,,
45,,,24,12,2,97,
46,,,2,4,1,50,
47,,,22,23,2,73,
48,3,100,14,17,,,
49,,,12,13,1,44,
50,2,93,17,21,,,
51,3,100,16,15,,,
52,,,13,15,3,100,
53,,,21,25,3,100,
54,,,10,8,2,97,
55,,,24,13,2,97,
56,,,15,15,2,85,
57,2,80,17,22,,,
58,3,100,8,19,,,
59,,,12,12,0,45,
60,,,24,16,3,100,
61,,,2,5,1,54,
62,2,59,3,2,,,
63,2,76,9,25,,,
64,,,22,18,3,100,
65,3,100,8,20,,,
66,1,50,3,1,,,
67,3,100,23,21,,,
68,,,14,4,3,100,
69,3,100,6,11,,,
70,3,100,19,22,,,
71,3,100,23,18,,,
72,2,79,15,24,,,
73,2,75,11,24,,,
74,,,7,23,2,62,
75,3,100,14,24,,,
76,2,78,21,25,,,
77,3,100,5,9,,,
78,3,100,15,25,,,
79,2,85,19,8,,,
80,,,18,7,3,100,
81,3,100,5,10,,,
82,,,10,7,3,100,
83,,,4,1,3,100,
84,,,15,6,3,100,
85,,,12,6,3,100,
86,,,5,2,3,100,
87,2,74,2,4,,,
88,3,100,6,8,,,
89,2,71,4,7,,,
90,1,56,4,1,,,
91,,,3,3,2,63,
92,,,6,2,3,100,
93,0,43,7,1,,,
94,1,99,1,5,,,
95,2,60,7,6,,,
96,2,99,1,3,,,
97,,,1,1,1,79,
98,2,75,2,5,,,
99,,,7,5,2,89,
100,,,2,3,1,43,
