version,2,reserved,reserved,reserved,reserved,reserved,reserved
Ragnarok,9L9J9CPU,,JTJ,2R9RCV9V,,LEAGUE,
25,,,,,,,
2017/01/08,,,,,,,
1,DarkEagle,11,2G9LL09U,110,,11,110
2,Wryhorn,11,JQJQVL8Y,110,,11,110
3,Space12345,10,8002Y989,90,,10,90
4,CactusClan,10,2PQ89PQ82,90,,10,90
5,Chris,10,229YCRYQV,90,,10,90
6,Darth Carlos,10,VJG8CCUG,90,,10,90
7,Aboy,10,VQ9PUJV2,90,,10,90
8,Nato,10,2PQ9OVQOV,90,,10,90
9,Czech1Czech2,9,22CP2Y828,70,,9,70
10,UTiger13,9,2OVQLGRUJ,70,,9,70
11,Chop Chef Jr,9,82U9J8C,70,,9,70
12,Dirk N,9,8Y8V8J9C,70,,9,70
13,Ohio-Legend-216,9,29QLGYC9Q,70,,9,70
14,Mr. Pizza,9,LU2L8JUV,70,,9,70
15,Batman,9,2QU9CC8,70,,9,70
16,Jippieh Yeah,9,YCYV88UV,70,,9,70
17,Amagnus,9,JVQ8JPQV,70,,9,70
18,Whooboy,9,22UOVV2JJ,70,,9,70
19,Captain America,9,G9YRJ09,70,,9,70
20,RedACE,9,GRJLGCUQ,70,,9,70
21,Avra's Secret,9,28LYQPRG,70,,9,70
22,Swu2,9,ULYCYCRR,70,,9,70
23,ellen,9,2PLYGVQ20,70,,9,70
24,Joe,9,LG9GQQJ8,70,,9,70
25,Poz,9,PPRYLOUY,70,,9,70
1,,,17,18,2,63,
2,3,100,22,25,,,
3,2,64,24,19,,,
4,2,84,22,24,,,
5,,,9,10,3,100,
6,3,100,12,18,,,
7,2,98,23,21,,,
8,2,98,14,20,,,
9,2,83,21,19,,,
10,,,20,19,3,100,
11,3,100,21,20,,,
12,,,10,14,3,100,
13,2,78,23,22,,,
14,,,23,24,3,100,
15,,,19,18,1,60,
16,3,100,25,24,,,
17,,,16,14,2,82,
18,2,67,25,23,,,
19,,,18,19,3,100,
20,,,11,13,1,81,
21,,,22,23,2,97,
22,1,83,13,13,,,
23,,,5,13,3,100,
24,,,21,21,3,100,
25,,,22,21,3,100,
26,,,17,22,2,91,
27,3,100,15,13,,,
28,,,11,22,3,100,
29,,,19,23,1,66,
30,3,100,19,22,,,
31,,,16,12,2,98,
32,3,100,15,14,,,
33,0,43,6,1,,,
34,3,100,16,21,,,
35,1,93,19,15,,,
36,,,1,5,1,55,
37,,,25,25,1,77,
38,2,56,11,10,,,
39,3,100,14,23,,,
40,,,25,24,2,81,
41,3,100,10,9,,,
42,,,13,10,2,64,
43,2,85,18,10,,,
44,,,12,9,2,95,
45,,,17,17,3,100,
46,3,100,17,16,,,
47,2,79,6,2,,,
48,1,52,17,11,,,
49,3,100,16,15,,,
50,,,19,15,3,100,
51,3,100,12,17,,,
52,3,100,11,19,,,
53,,,16,9,2,68,
54,1,75,24,12,,,
55,,,14,12,2,81,
56,2,92,3,1,,,
57,3,100,18,11,,,
58,,,13,11,2,72,
59,,,24,16,3,100,
60,,,16,17,3,100,
61,2,99,20,10,,,
62,1,56,3,7,,,
63,2,81,10,12,,,
64,,,14,11,1,62,
65,3,100,20,12,,,
66,,,1,8,1,47,
67,,,25,20,3,100,
68,,,13,20,2,69,
69,2,75,13,10,,,
70,,,2,8,0,6,
71,,,12,16,3,100,
72,,,14,15,2,83,
73,,,3,6,0,40,
74,2,89,8,10,,,
75,2,56,4,6,,,
76,,,8,3,2,84,
77,2,77,2,6,,,
78,1,91,5,8,,,
79,2,69,8,4,,,
80,,,3,3,0,46,
81,,,1,7,2,61,
82,2,59,9,10,,,
83,2,71,7,5,,,
84,,,6,4,2,81,
85,,,13,5,3,100,
86,,,14,7,3,100,
87,2,57,9,3,,,
88,3,100,4,10,,,
89,,,2,6,2,62,
90,,,4,2,3,100,
91,,,3,1,3,100,
92,3,100,7,8,,,
93,2,89,5,7,,,
94,2,77,1,6,,,
95,,,5,4,2,71,
96,,,6,2,3,100,
97,,,7,1,3,100,
98,1,85,1,7,,,
99,2,91,2,3,,,
