version,2,reserved,reserved,reserved,reserved,reserved,reserved
Team South Korea,Y9LJQGVC,,JTJ,2R9RCV9V,,S8,
30,,,,,,,
2017/01/10,,,,,,,
1,DarkEagle,11,2G9LL09U,109,1,11,108
2,Wryhorn,11,JQJQVL8Y,109,1,11,108
3,DarthCarlos11,11,RVQRQL2Y,108,1,11,108
4,Space12345,10,8002Y989,89,,11,107
5,CactusClan,10,2PQ89PQ82,89,,11,106
6,Chris,10,229YCRYQV,89,,11,104
7,Darth Carlos,10,VJG8CCUG,89,,11,104
8,Sno,10,GQV9G9VV,89,1,10,89
9,AryaGadakari,10,RQVLLLYR,87,1,10,89
10,Aboy,10,VQ9PUJV2,87,1,10,88
11,SwuTangClan,10,8G9LVLP0,87,,10,87
12,Nato,10,2PQ9OVQOV,86,,10,83
13,ThatAmagnus,10,GPGQC89C,86,,10,70
14,Eleazar,10,C8GRJVL0,70,1,9,70
15,Chop Chef Jr,9,82U9J8C,70,,10,69
16,Dirk N,9,8Y8V8J9C,70,,10,68
17,Ohio-Legend-216,9,29QLGYC9Q,70,,9,68
18,Mr. Pizza,9,LU2L8JUV,70,,10,68
19,FMFN,9,2OUQPYLU8,69,,9,68
20,Amagnus,9,JVQ8JPQV,69,,9,67
21,Whooboy,9,22UOVV2JJ,69,,9,66
22,MG7,9,LCQJGY2V,69,,10,66
23,Captain America,9,G9YRJ09,68,,9,64
24,RedACE,9,GRJLGCUQ,68,,9,64
25,Avra's Secret,9,28LYQPRG,68,,11,61
26,King Necto,9,V8QRQU9Y,68,,9,55
27,Joe,9,LG9GQQJ8,66,,8,54
28,Poz,9,PPRYLOUY,66,,9,51
29,Aila42,9,2QPRPGVVG,66,,11,48
30,ren9,9,29CUGOGCR,65,,7,34
1,3,100,29,28,,,
2,2,99,22,20,,,
3,2,7,16,16,,,
4,3,100,27,14,,,
5,3,100,26,30,,,
6,3,100,22,21,,,
7,,,30,28,2,71,
8,3,100,29,27,,,
9,3,100,28,26,,,
10,,,3,3,1,57,
11,3,100,18,18,,,
12,3,100,28,25,,,
13,2,98,25,15,,,
14,3,100,18,19,,,
15,,,25,13,3,100,
16,3,100,25,17,,,
17,,,28,20,2,86,
18,2,85,20,13,,,
19,,,27,21,1,51,
20,3,100,17,13,,,
21,3,100,26,23,,,
22,,,22,15,2,93,
23,0,33,17,5,,,
24,,,23,13,2,77,
25,2,89,19,24,,,
26,,,10,29,3,100,
27,3,100,30,24,,,
28,3,100,30,29,,,
29,1,66,19,22,,,
30,,,26,15,2,91,
31,1,3,9,11,,,
32,,,11,29,2,60,
33,1,59,21,15,,,
34,2,87,16,15,,,
35,2,81,14,20,,,
36,,,1,3,2,70,
37,,,19,10,3,100,
38,,,29,19,2,73,
39,,,24,14,2,68,
40,,,20,11,3,100,
41,,,26,14,3,100,
42,1,97,23,22,,,
43,,,16,9,3,100,
44,,,30,20,3,100,
45,,,4,4,1,52,
46,1,91,15,22,,,
47,3,100,14,16,,,
48,3,100,27,20,,,
49,,,21,10,3,100,
50,,,27,19,2,60,
51,3,100,20,22,,,
52,2,57,7,2,,,
53,,,22,23,3,100,
54,,,27,17,2,97,
55,0,46,13,1,,,
56,2,64,21,10,,,
57,0,42,7,5,,,
58,2,60,23,12,,,
59,1,64,6,7,,,
60,2,68,12,6,,,
61,2,50,15,8,,,
62,1,50,9,9,,,
63,,,23,18,3,100,
64,,,18,12,1,75,
65,,,29,23,2,80,
66,0,49,6,3,,,
67,2,97,3,9,,,
68,,,18,22,3,100,
69,0,46,12,5,,,
70,,,7,2,1,46,
71,3,100,3,10,,,
72,1,49,8,1,,,
73,2,85,10,11,,,
74,0,34,24,4,,,
75,,,24,22,3,100,
76,3,100,24,15,,,
77,,,29,24,2,63,
78,3,100,4,12,,,
79,,,17,25,2,73,
80,2,62,13,5,,,
81,1,68,4,3,,,
82,,,15,25,1,67,
83,2,75,8,7,,,
84,,,27,16,3,100,
85,,,29,21,2,51,
86,,,15,11,3,100,
87,,,28,16,0,40,
88,,,12,7,3,100,
89,,,29,17,3,100,
90,1,45,5,4,,,
91,,,8,6,2,81,
92,,,28,18,2,95,
93,,,28,12,3,100,
94,,,9,7,2,57,
95,2,68,1,1,,,
96,,,14,8,3,100,
97,0,43,5,3,,,
98,,,5,2,2,69,
99,2,85,1,11,,,
100,,,17,9,3,100,
101,,,7,5,3,100,
102,,,2,1,2,67,
103,2,72,11,3,,,
104,1,67,2,9,,,
105,3,100,2,8,,,
106,,,13,8,1,68,
107,,,6,4,3,100,
108,2,70,11,4,,,
109,,,4,5,2,89,
110,,,13,6,3,100,
111,2,67,10,9,,,
112,,,3,1,2,55,
