version,2,reserved,reserved,reserved,reserved,reserved,reserved
Goteborgs Kriga,2CJC9G90,,JTJ,2R9RCV9V,,LEAGUE,
25,,,,,,,
2017/01/14,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,,11,110
2,NHHung,11,UJLUU9CR,110,,11,110
3,Space12345,10,8002Y989,90,,10,90
4,Darth Carlos,10,VJG8CCUG,90,,10,90
5,Aboy,10,VQ9PUJV2,90,,10,90
6,SwuTangClan,10,8G9LVLP0,90,,10,90
7,Nato,10,2PQ9OVQOV,90,,10,90
8,UTiger13,9,2OVQLGRUJ,70,,9,70
9,Chop Chef Jr,9,82U9J8C,70,,9,70
10,Dirk N,9,8Y8V8J9C,70,,9,70
11,Ohio-Legend-216,9,29QLGYC9Q,70,,9,70
12,Mr. Pizza,9,LU2L8JUV,70,,9,70
13,Batman,9,2QU9CC8,70,,9,70
14,Jippieh Yeah,9,YCYV88UV,70,,9,70
15,Amagnus,9,JVQ8JPQV,70,,9,70
16,Whooboy,9,22UOVV2JJ,70,,9,70
17,Avra's Secret,9,28LYQPRG,70,,9,70
18,Captain America,9,G9YRJ09,70,,9,70
19,RedACE,9,GRJLGCUQ,70,,9,70
20,Aigamisou,9,PL0U898C,70,,9,70
21,Leah's Daddy Time,9,2YQ00J0CR,70,,9,70
22,Aleister Crowle,9,Q9922RUU,70,,9,70
23,Joe,9,LG9GQQJ8,70,,9,70
24,Poz,9,PPRYLOUY,70,,9,70
25,Ren9,9,29CUGOGCR,70,,9,70
1,3,100,23,15,,,
2,3,100,18,10,,,
3,2,97,23,11,,,
4,3,100,25,25,,,
5,3,100,10,12,,,
6,3,100,18,13,,,
7,3,100,10,11,,,
8,2,86,25,24,,,
9,2,51,15,17,,,
10,3,100,12,8,,,
11,2,90,21,22,,,
12,,,22,20,3,100,
13,1,49,17,16,,,
14,3,100,15,19,,,
15,,,8,10,3,100,
16,3,100,12,9,,,
17,,,2,4,1,47,
18,3,100,24,23,,,
19,3,100,17,21,,,
20,2,67,21,4,,,
21,0,37,22,3,,,
22,2,56,24,6,,,
23,,,25,24,3,100,
24,,,24,24,2,97,
25,,,9,13,2,97,
26,,,10,8,1,60,
27,,,10,20,3,100,
28,,,1,6,0,42,
29,,,18,18,2,87,
30,2,95,13,14,,,
31,,,12,17,3,100,
32,,,19,19,2,82,
33,,,13,17,3,100,
34,2,95,11,16,,,
35,,,16,21,1,86,
36,1,66,11,14,,,
37,,,9,10,2,94,
38,2,81,20,18,,,
39,,,17,13,1,90,
40,,,16,19,2,94,
41,,,20,16,1,75,
42,,,18,21,2,85,
43,1,47,4,1,,,
44,,,17,11,3,100,
45,,,15,14,2,80,
46,,,24,25,3,100,
47,,,11,9,2,80,
48,,,2,7,2,64,
49,,,15,11,3,100,
50,,,11,8,3,100,
51,,,20,14,3,100,
52,,,9,9,2,71,
53,3,100,13,16,,,
54,,,23,25,3,100,
55,3,100,16,18,,,
56,,,18,23,1,79,
57,2,66,22,22,,,
58,,,21,22,2,99,
59,,,1,7,1,64,
60,3,100,16,22,,,
61,,,1,5,0,48,
62,2,95,9,24,,,
63,,,18,15,3,100,
64,,,9,15,3,100,
65,,,21,23,2,55,
66,,,16,18,3,100,
67,,,1,3,1,56,
68,3,100,8,17,,,
69,,,5,2,2,76,
70,3,100,20,24,,,
71,1,50,9,14,,,
72,1,66,14,14,,,
73,,,21,16,3,100,
74,3,100,19,20,,,
75,,,19,22,2,93,
76,0,45,7,2,,,
77,1,66,19,14,,,
78,2,57,14,5,,,
79,3,100,7,14,,,
80,2,54,4,2,,,
81,2,68,8,7,,,
82,3,100,1,3,,,
83,3,100,1,5,,,
84,,,14,6,3,100,
85,2,97,2,4,,,
86,,,19,12,3,100,
87,2,70,5,7,,,
88,2,60,6,1,,,
89,,,7,12,2,73,
90,,,6,3,2,54,
91,,,6,5,1,81,
92,1,64,5,6,,,
93,3,100,2,7,,,
94,3,100,6,4,,,
95,,,1,4,2,53,
96,,,4,2,1,64,
97,0,48,3,6,,,
98,,,3,1,2,78,
99,,,4,1,2,75,
100,0,44,3,2,,,
