version,2,reserved,reserved,reserved,reserved,reserved,reserved
CentumArena,8L8CPJUR,,JTJ,2R9RCV9V,,LEAGUE,
25,,,,,,,
2017/01/15,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,,11,110
2,DarthCarlos11,11,RVQRQL2Y,110,,11,110
3,Space12345,10,8002Y989,90,,10,90
4,Sno,10,GQV9G9VV,90,,10,90
5,Aboy,10,VQ9PUJV2,90,,10,90
6,SwuTangClan,10,8G9LVLP0,90,,10,90
7,ThatAmagnus,10,GPGQC89C,90,,10,90
8,UTiger13,9,2OVQLGRUJ,70,,9,70
9,Chop Chef Jr,9,82U9J8C,70,,9,70
10,Dirk N,9,8Y8V8J9C,70,,9,70
11,Ohio-Legend-216,9,29QLGYC9Q,70,,9,70
12,Mr. Pizza,9,LU2L8JUV,70,,9,70
13,Batman,9,2QU9CC8,70,,9,70
14,Jippieh Yeah,9,YCYV88UV,70,,9,70
15,Amagnus,9,JVQ8JPQV,70,,9,70
16,Whooboy,9,22UOVV2JJ,70,,9,70
17,Avra's Secret,9,28LYQPRG,70,,9,70
18,RedACE,9,GRJLGCUQ,70,,9,70
19,King Necto,9,V8QRQU9Y,70,,9,70
20,Michael,9,VU2V9CLV,70,,9,70
21,Leah's Daddy Time,9,2YQ00J0CR,70,,9,70
22,Double G,9,JY8R9G9U,70,,9,70
23,Joe,9,LG9GQQJ8,70,,9,70
24,ellen,9,2PLYGVQ20,70,,9,70
25,Poz,9,PPRYLOUY,70,,9,70
1,3,100,13,19,,,
2,0,46,19,5,,,
3,,,21,21,3,100,
4,,,14,16,3,100,
5,,,20,21,1,81,
6,,,15,13,2,97,
7,,,16,17,3,100,
8,2,99,18,9,,,
9,2,94,22,25,,,
10,3,100,10,16,,,
11,,,25,25,3,100,
12,,,10,16,2,80,
13,2,98,24,22,,,
14,2,95,10,18,,,
15,2,98,20,24,,,
16,3,100,18,13,,,
17,2,81,23,18,,,
18,,,17,19,3,100,
19,2,91,23,15,,,
20,2,57,4,2,,,
21,3,100,16,15,,,
22,,,18,18,1,94,
23,,,24,25,1,53,
24,,,11,24,2,77,
25,,,9,15,3,100,
26,,,8,10,2,80,
27,3,100,19,23,,,
28,,,20,18,1,83,
29,,,13,19,2,99,
30,3,100,16,12,,,
31,2,81,12,21,,,
32,,,19,20,2,77,
33,,,10,15,2,99,
34,,,15,14,3,100,
35,2,75,21,4,,,
36,,,23,20,3,100,
37,2,55,25,6,,,
38,3,100,24,25,,,
39,3,100,12,20,,,
40,3,100,21,24,,,
41,3,100,17,22,,,
42,,,24,24,3,100,
43,3,100,17,21,,,
44,3,100,11,17,,,
45,0,49,22,7,,,
46,2,87,13,8,,,
47,3,100,11,14,,,
48,1,65,9,18,,,
49,,,12,17,2,70,
50,,,19,13,2,95,
51,,,24,23,1,36,
52,,,18,9,3,100,
53,,,13,9,3,100,
54,,,22,22,3,100,
55,,,20,23,1,85,
56,,,7,8,2,57,
57,,,24,22,3,100,
58,,,19,12,2,88,
59,,,1,8,0,32,
60,,,1,6,2,57,
61,2,95,14,9,,,
62,2,69,20,3,,,
63,,,20,12,3,100,
64,,,2,6,0,48,
65,2,57,4,1,,,
66,,,10,10,2,75,
67,,,19,14,3,100,
68,1,88,8,10,,,
69,2,85,6,7,,,
70,3,100,14,18,,,
71,,,11,11,3,100,
72,3,100,15,9,,,
73,,,12,11,3,100,
74,1,77,9,8,,,
75,,,7,4,1,52,
76,3,100,8,11,,,
77,1,55,15,10,,,
78,,,8,5,3,100,
79,2,85,25,10,,,
80,,,10,7,3,100,
81,,,2,4,1,50,
82,1,71,7,10,,,
83,2,94,7,8,,,
84,,,7,5,2,71,
85,2,73,3,6,,,
86,3,100,2,4,,,
87,,,5,7,2,69,
88,,,3,2,3,100,
89,,,7,3,2,73,
90,3,100,2,5,,,
91,3,100,5,8,,,
92,3,100,6,6,,,
93,3,100,3,10,,,
94,1,76,1,7,,,
95,,,6,1,1,78,
96,,,6,2,3,100,
97,3,100,5,7,,,
98,,,2,1,2,93,
99,,,4,3,2,61,
100,2,85,1,3,,,
