version,2,reserved,reserved,reserved,reserved,reserved,reserved
Pigeonism,2VYLQGRJ,,JTJ,2R9RCV9V,,S8,
30,,,,,,,
2017/01/18,,,,,,,
1,DarkEagle,11,2G9LL09U,109,1,11,109
2,Wryhorn,11,JQJQVL8Y,109,1,11,109
3,ButterBurger,11,PLQLJ8QU,109,1,11,109
4,NHHung,11,UJLUU9CR,107,,11,107
5,Space12345,10,8002Y989,89,1,10,90
6,CactusClan,10,2PQ89PQ82,89,1,10,89
7,Chris,10,229YCRYQV,89,1,10,89
8,Sno,10,GQV9G9VV,89,1,10,89
9,Atlas,10,RJ9PJ9CC,89,1,10,89
10,Aboy,10,VQ9PUJV2,88,1,10,89
11,Arya Gadakari,10,RQVLLLYR,87,,10,87
12,SWuTangClan,10,8G9LVLP0,87,,10,86
13,Tim66,10,GVC8V9G9,86,,10,85
14,ThatAmagnus,10,GPGQC89C,86,,10,85
15,Czech1Czech2,9,22CP2Y828,70,1,9,70
16,UTiger13,9,2OVQLGRUJ,70,1,9,70
17,Chop Chef Jr,9,82U9J8C,70,1,9,70
18,Dirk N,9,8Y8V8J9C,70,1,9,70
19,Ohio-Legend-216,9,29QLGYC9Q,70,1,9,70
20,Mr. Pizza,9,LU2L8JUV,70,1,9,70
21,Amagnus,9,JVQ8JPQV,69,1,9,70
22,Lacey Clan,9,R08YP9Q8,69,1,9,70
23,Whooboy,9,22UOVV2JJ,69,1,9,69
24,Dada 1974,9,GQ0JCQJQ,69,1,9,69
25,Avra's Secret,9,28LYQPRG,69,1,9,69
26,RedACE,9,GRJLGCUQ,68,1,9,69
27,King Necto,9,V8QRQU9Y,68,1,9,69
28,Michael,9,VU2V9CLV,68,,9,68
29,Double G,9,JY8R9G9U,66,,9,68
30,Joe,9,LG9GQQJ8,66,,9,68
1,,,20,22,2,65,
2,,,15,25,1,88,
3,,,16,29,3,100,
4,,,21,17,3,100,
5,,,17,25,3,100,
6,3,100,30,21,,,
7,,,20,30,1,87,
8,,,20,29,3,100,
9,,,4,4,3,100,
10,,,1,4,3,100,
11,,,25,28,3,100,
12,,,22,17,3,100,
13,,,14,10,1,69,
14,1,46,8,2,,,
15,2,86,30,25,,,
16,,,29,28,3,100,
17,,,23,18,3,100,
18,,,11,30,2,59,
19,,,13,10,1,83,
20,3,100,29,30,,,
21,,,27,18,2,90,
22,,,11,14,3,100,
23,,,15,21,3,100,
24,,,24,21,3,100,
25,,,5,1,3,100,
26,,,18,16,3,100,
27,2,88,29,29,,,
28,,,26,16,1,93,
29,,,13,6,3,100,
30,1,46,8,3,,,
31,,,6,1,3,100,
32,3,100,2,5,,,
33,0,21,22,23,,,
34,3,100,27,28,,,
35,,,14,11,3,100,
36,1,60,18,23,,,
37,,,2,14,2,66,
38,,,28,19,3,100,
39,,,26,19,1,85,
40,,,19,26,2,88,
41,,,19,23,3,100,
42,2,73,24,26,,,
43,2,84,18,18,,,
44,,,26,23,3,100,
45,2,71,21,20,,,
46,,,30,26,3,100,
47,2,99,16,17,,,
48,1,84,15,16,,,
49,,,27,15,3,100,
50,3,100,1,8,,,
51,,,3,11,2,53,
52,,,8,22,2,59,
53,,,10,24,2,56,
54,2,73,20,19,,,
55,1,93,21,18,,,
56,3,100,16,20,,,
57,1,83,7,11,,,
58,3,100,25,18,,,
59,,,9,15,1,50,
60,,,9,12,2,68,
61,2,71,20,15,,,
62,3,100,25,16,,,
63,,,10,9,2,85,
64,,,7,24,1,54,
65,,,8,6,2,90,
66,2,88,7,13,,,
67,,,7,12,2,64,
68,,,7,9,2,82,
69,2,78,19,23,,,
70,,,9,5,2,50,
71,2,98,28,24,,,
72,3,100,19,24,,,
73,,,12,5,2,94,
74,2,93,13,12,,,
75,2,80,24,27,,,
76,3,100,2,7,,,
77,2,98,23,25,,,
78,3,100,22,22,,,
79,1,73,28,25,,,
80,,,18,20,2,88,
81,2,52,9,2,,,
82,1,53,11,14,,,
83,,,12,7,2,81,
84,3,100,1,6,,,
85,3,100,23,29,,,
86,1,36,9,1,,,
87,2,89,27,23,,,
88,2,98,12,13,,,
89,,,8,8,0,49,
90,,,9,7,2,99,
91,3,100,6,19,,,
92,2,81,12,9,,,
93,,,9,8,1,56,
94,2,56,5,4,,,
95,3,100,26,25,,,
96,3,100,26,26,,,
97,3,100,11,27,,,
98,3,100,6,23,,,
99,2,54,3,10,,,
100,,,3,3,1,71,
101,1,59,5,1,,,
102,,,12,13,3,100,
103,1,73,10,14,,,
104,3,100,14,15,,,
105,3,100,4,14,,,
106,,,2,3,3,100,
107,,,9,2,2,71,
108,,,10,13,1,56,
109,,,8,2,3,100,
110,3,100,10,11,,,
111,3,100,3,9,,,
112,0,37,13,1,,,
113,3,100,4,10,,,
114,3,100,14,17,,,
