version,2,reserved,reserved,reserved,reserved,reserved,reserved
God of War,99G8JUL2,,JTJ,2R9RCV9V,,LEAGUE,
25,,,,,,,
2017/01/21,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,,11,110
2,NHHung,11,UJLUU9CR,110,,11,110
3,Space12345,10,8002Y989,90,,10,90
4,Sno,10,GQV9G9VV,90,,10,90
5,Atlas,10,RJ9PJ9CC,90,,10,90
6,Aboy,10,VQ9PUJV2,90,,10,90
7,SwuTangClan,10,8G9LVLP0,90,,10,90
8,Aran,9,28L2RQCCQ,70,,10,90
9,UTiger13,9,2OVQLGRUJ,70,,9,70
10,Chop Chef Jr,9,82U9J8C,70,,9,70
11,Dirk N,9,8Y8V8J9C,70,,9,70
12,Ohio-Legend-216,9,29QLGYC9Q,70,,9,70
13,Mr. Pizza,9,LU2L8JUV,70,,9,70
14,Batman,9,2QU9CC8,70,,9,70
15,Jippieh Yeah,9,YCYV88UV,70,,9,70
16,Amagnus,9,JVQ8JPQV,70,,9,70
17,Lacey Clan,9,R08YP9Q8,70,,9,70
18,Whooboy,9,22UOVV2JJ,70,,9,70
19,Dada 1974,9,GQ0JCQJQ,70,,9,70
20,Avra's Secret,9,28LYQPRG,70,,9,70
21,Captain America,9,G9YRJ09,70,,9,70
22,RedACE,9,GRJLGCUQ,70,,9,70
23,Leah's Daddy Time,9,2YQ00J0CR,70,,9,70
24,Joe,9,LG9GQQJ8,70,,9,70
25,Poz,9,PPRYLOUY,70,,9,70
1,,,9,14,1,71,
2,,,12,19,3,100,
3,,,11,22,2,99,
4,,,14,14,3,100,
5,,,24,19,3,100,
6,,,16,17,3,100,
7,,,22,25,2,99,
8,,,13,22,3,100,
9,3,100,14,18,,,
10,,,18,17,1,61,
11,,,25,25,3,100,
12,,,8,13,1,54,
13,1,63,14,19,,,
14,,,15,15,3,100,
15,,,17,20,2,94,
16,,,8,16,3,100,
17,,,6,23,0,46,
18,,,18,16,2,99,
19,,,21,15,3,100,
20,,,6,8,2,91,
21,,,3,23,1,52,
22,2,73,24,21,,,
23,3,100,21,13,,,
24,2,85,21,14,,,
25,1,71,19,16,,,
26,1,82,12,9,,,
27,,,19,12,3,100,
28,3,100,17,19,,,
29,,,17,13,2,91,
30,2,95,17,9,,,
31,,,9,18,3,100,
32,,,17,11,3,100,
33,3,100,22,16,,,
34,,,18,11,3,100,
35,3,100,20,20,,,
36,2,81,13,17,,,
37,1,39,23,3,,,
38,3,100,9,15,,,
39,3,100,13,9,,,
40,3,100,20,17,,,
41,2,55,23,4,,,
42,,,22,10,3,100,
43,3,100,11,23,,,
44,2,61,16,21,,,
45,3,100,11,21,,,
46,3,100,25,25,,,
47,,,23,10,3,100,
48,3,100,16,11,,,
49,2,73,25,24,,,
50,,,20,9,3,100,
51,,,11,12,3,100,
52,1,46,12,22,,,
53,,,2,7,2,60,
54,,,1,7,0,47,
55,,,5,9,2,60,
56,,,1,4,2,75,
57,2,90,19,22,,,
58,3,100,18,24,,,
59,3,100,8,22,,,
60,3,100,8,14,,,
61,3,100,9,10,,,
62,,,4,24,2,52,
63,2,74,18,5,,,
64,,,7,24,2,66,
65,,,5,3,0,49,
66,0,31,4,2,,,
67,2,66,22,7,,,
68,0,47,4,1,,,
69,,,6,4,1,52,
70,,,5,8,2,74,
71,1,44,24,8,,,
72,1,44,5,1,,,
73,,,7,20,1,26,
74,2,99,7,8,,,
75,,,3,21,2,60,
76,2,61,7,2,,,
77,1,45,6,8,,,
78,,,4,21,2,68,
79,1,53,3,1,,,
80,3,100,15,12,,,
81,,,3,1,3,100,
82,1,55,15,8,,,
83,,,6,3,0,47,
84,,,4,2,2,66,
85,,,7,18,2,73,
86,,,7,5,3,100,
87,2,87,1,3,,,
88,2,94,2,7,,,
89,3,100,3,8,,,
90,,,5,2,3,100,
91,2,57,6,1,,,
92,,,6,5,2,90,
93,3,100,2,5,,,
94,3,100,1,4,,,
95,,,4,1,3,100,
96,2,84,5,3,,,
