version,2,reserved,reserved,reserved,reserved,reserved,reserved
Divine Justice,8GY8YR2R,,JTJ,2R9RCV9V,,LEAGUE,
25,,,,,,,
2017/01/23,,,,,,,
1,DarkEagle,11,2G9LL09U,110,,11,110
2,Wryhorn,11,JQJQVL8Y,110,,11,110
3,Space12345,10,8002Y989,90,,10,90
4,Sno,10,GQV9G9VV,90,,10,90
5,Aboy,10,VQ9PUJV2,90,,10,90
6,SwuTangClan,10,8G9LVLP0,90,,10,90
7,nato,10,2PQ9OVQOV,90,,10,90
8,Aran,9,28L2RQCCQ,70,,9,70
9,UTiger13,9,2OVQLGRUJ,70,,9,70
10,Dirk N,9,8Y8V8J9C,70,,9,70
11,Ohio-Legend-216,9,29QLGYC9Q,70,,9,70
12,Batman,9,2QU9CC8,70,,9,70
13,Amagnus,9,JVQ8JPQV,70,,9,70
14,Lacey Clan,9,R08YP9Q8,70,,9,70
15,Whooboy,9,22UOVV2JJ,70,,9,70
16,Avra's Secret,9,28LYQPRG,70,,9,70
17,Captain America,9,G9YRJ09,70,,9,70
18,RedACE,9,GRJLGCUQ,70,,9,70
19,king necto,9,V8QRQU9Y,70,,9,70
20,michael,9,VU2V9CLV,70,,9,70
21,Leah's Daddy Time,9,2YQ00J0CR,70,,9,70
22,Double G,9,JY8R9G9U,70,,9,70
23,ellen,9,2PLYGVQ20,70,,9,70
24,Joe,9,LG9GQQJ8,70,,9,70
25,Poz,9,PPRYLOUY,70,,9,70
1,,,25,19,3,100,
2,3,100,19,22,,,
3,,,23,19,2,91,
4,,,24,18,1,75,
5,3,100,22,25,,,
6,,,24,20,2,62,
7,,,8,9,2,52,
8,3,100,23,18,,,
9,,,24,25,2,76,
10,2,99,23,16,,,
11,3,100,10,13,,,
12,2,69,22,7,,,
13,3,100,10,17,,,
14,3,100,18,12,,,
15,1,44,19,5,,,
16,3,100,18,16,,,
17,3,100,16,20,,,
18,,,22,23,2,58,
19,2,89,16,9,,,
20,2,94,12,14,,,
21,3,100,25,21,,,
22,1,50,12,11,,,
23,3,100,13,14,,,
24,1,60,21,6,,,
25,3,100,13,19,,,
26,3,100,21,23,,,
27,3,100,11,10,,,
28,3,100,20,24,,,
29,,,21,18,1,52,
30,2,78,11,11,,,
31,,,9,14,3,100,
32,,,19,14,2,82,
33,,,10,6,2,99,
34,,,15,15,1,74,
35,1,73,8,11,,,
36,,,20,13,1,57,
37,2,89,14,15,,,
38,3,100,15,11,,,
39,3,100,15,15,,,
40,2,59,14,3,,,
41,,,14,17,1,73,
42,2,63,20,4,,,
43,,,21,16,2,98,
44,,,22,17,2,65,
45,1,67,8,9,,,
46,,,11,9,3,100,
47,,,20,16,3,100,
48,,,4,23,1,28,
49,,,18,13,2,50,
50,1,94,9,8,,,
51,0,37,25,1,,,
52,,,19,12,3,100,
53,0,41,7,1,,,
54,3,100,9,9,,,
55,,,17,12,2,61,
56,,,6,24,1,40,
57,1,59,24,8,,,
58,,,15,10,3,100,
59,,,16,11,3,100,
60,,,18,10,2,83,
61,0,16,24,2,,,
62,,,21,11,3,100,
63,,,4,24,2,67,
64,,,22,8,2,86,
65,,,23,8,3,100,
66,,,1,3,1,54,
67,,,2,3,0,36,
68,,,7,21,1,49,
69,2,53,4,2,,,
70,3,100,6,6,,,
71,0,31,4,1,,,
72,2,98,3,7,,,
73,,,6,21,2,55,
74,2,59,5,7,,,
75,1,46,17,8,,,
76,1,45,3,1,,,
77,,,12,15,1,50,
78,,,10,4,3,100,
79,,,13,5,3,100,
80,3,100,2,3,,,
81,,,14,7,3,100,
82,,,22,20,2,83,
83,,,17,6,3,100,
84,,,12,5,3,100,
85,3,100,7,8,,,
86,,,2,2,2,80,
87,,,3,22,2,53,
88,,,8,4,3,100,
89,,,5,1,2,92,
90,3,100,2,5,,,
91,,,18,2,3,100,
92,,,22,7,2,98,
93,2,78,1,4,,,
94,3,100,1,7,,,
95,,,7,1,3,100,
96,2,50,5,1,,,
97,0,12,17,4,,,
98,,,24,22,2,76,
99,1,50,6,4,,,
