version,2,reserved,reserved,reserved,reserved,reserved,reserved
Aura,9U2JGQ00,,JTJ,2R9RCV9V,,LEAGUE,
30,,,,,,,
2017/01/25,,,,,,,
1,DarkEagle,11,2G9LL09U,109,1,11,109
2,Wryhorn,11,JQJQVL8Y,109,,11,107
3,NHHung,11,UJLUU9CR,107,,11,92
4,Space12345,10,8002Y989,89,1,10,89
5,Chris,10,229YCRYQV,89,1,10,89
6,Sno,10,GQV9G9VV,89,1,10,89
7,Aboy,10,VQ9PUJV2,88,1,10,89
8,SwuTangClan,10,8G9LVLP0,87,1,10,88
9,Tim66,10,GVC8V9G9,86,,10,87
10,ThatAmagnus,10,GPGQC89C,86,,10,86
11,Corey,10,GLJRRGV9,71,,10,86
12,Eleazar,10,C8GRJVL0,70,,10,71
13,Aran,9,28L2RQCCQ,70,1,9,70
14,Mr. Pizza,9,LU2L8JUV,70,1,9,70
15,UTiger13,9,2OVQLGRUJ,70,1,9,70
16,Dirk N,9,8Y8V8J9C,70,1,9,70
17,Ohio-Legend-216,9,29QLGYC9Q,70,1,9,70
18,Lacey Clan,9,R08YP9Q8,69,1,9,70
19,Amagnus,9,JVQ8JPQV,69,1,9,69
20,Whooboy,9,22UOVV2JJ,69,1,9,69
21,RedACE,9,GRJLGCUQ,68,1,9,69
22,King Necto,9,V8QRQU9Y,68,1,9,69
23,Darth,9,VYY2PCJJ,68,1,9,69
24,Michael,9,VU2V9CLV,68,,9,67
25,Leah's Daddy Time,9,2YQ00J0CR,67,,9,67
26,Double G,9,JY8R9G9U,67,,9,66
27,Swu2,9,ULYCYCRR,67,,9,66
28,Aleister Crowle,9,Q9922RUU,66,,9,66
29,Joe,9,LG9GQQJ8,66,,9,66
30,Poz,9,PPRYLOUY,66,,9,65
1,,,15,16,3,100,
2,,,29,29,2,58,
3,,,20,25,2,94,
4,,,19,16,3,100,
5,,,26,28,3,100,
6,,,18,21,3,100,
7,,,27,30,3,100,
8,,,17,19,3,100,
9,,,30,30,2,70,
10,2,63,19,16,,,
11,,,13,24,3,100,
12,,,14,19,1,94,
13,,,16,17,2,51,
14,2,91,29,19,,,
15,3,100,15,17,,,
16,,,21,20,2,53,
17,,,16,18,3,100,
18,,,24,29,1,97,
19,1,56,23,25,,,
20,2,86,16,15,,,
21,,,20,14,3,100,
22,2,93,21,19,,,
23,,,21,18,1,79,
24,,,14,24,2,99,
25,3,100,19,21,,,
26,2,93,15,13,,,
27,3,100,16,23,,,
28,3,100,21,15,,,
29,,,23,26,2,81,
30,3,100,27,25,,,
31,1,90,14,14,,,
32,3,100,28,30,,,
33,3,100,27,26,,,
34,,,28,27,2,73,
35,3,100,14,28,,,
36,,,3,9,2,71,
37,,,28,26,3,100,
38,3,100,30,29,,,
39,,,24,25,3,100,
40,2,97,25,27,,,
41,2,89,17,19,,,
42,,,23,14,2,80,
43,0,36,28,3,,,
44,1,60,22,24,,,
45,2,72,17,22,,,
46,0,20,24,27,,,
47,2,73,13,22,,,
48,3,100,18,24,,,
49,3,100,13,16,,,
50,2,81,18,22,,,
51,,,22,22,1,50,
52,3,100,20,13,,,
53,2,64,22,6,,,
54,3,100,24,18,,,
55,,,25,28,3,100,
56,,,23,22,3,100,
57,,,22,13,3,100,
58,2,93,20,14,,,
59,1,25,23,4,,,
60,,,29,23,3,100,
61,0,20,25,7,,,
62,,,2,5,1,53,
63,,,21,15,3,100,
64,,,30,21,1,60,
65,,,12,12,3,100,
66,,,30,23,3,100,
67,3,100,29,27,,,
68,,,1,8,2,68,
69,,,14,12,3,100,
70,,,9,15,0,42,
71,,,2,9,2,64,
72,3,100,11,20,,,
73,2,95,26,22,,,
74,3,100,11,14,,,
75,,,10,13,1,42,
76,0,49,30,5,,,
77,2,59,26,8,,,
78,,,9,10,1,64,
79,2,58,4,2,,,
80,2,89,12,22,,,
81,3,100,6,12,,,
82,0,39,10,1,,,
83,3,100,4,10,,,
84,2,52,8,11,,,
85,3,100,12,19,,,
86,0,37,6,1,,,
87,2,64,8,1,,,
88,,,4,2,2,95,
89,,,11,11,3,100,
90,,,10,10,2,84,
91,,,8,20,2,53,
92,,,7,27,1,53,
93,3,100,5,11,,,
94,1,61,7,8,,,
95,,,10,7,1,79,
96,,,7,6,1,74,
97,,,9,5,0,49,
98,3,100,9,22,,,
99,,,10,6,0,26,
100,0,46,10,9,,,
101,,,5,11,2,74,
102,,,9,7,1,64,
103,,,6,17,2,74,
104,2,65,9,3,,,
105,3,100,7,9,,,
106,3,100,3,4,,,
107,2,75,5,7,,,
108,3,100,2,5,,,
109,,,7,1,3,100,
110,3,100,1,8,,,
111,,,6,3,3,100,
112,,,9,4,2,57,
113,1,75,3,7,,,
114,,,9,8,1,51,
115,1,54,1,7,,,
116,,,10,4,2,69,
117,,,10,1,1,70,
118,,,9,2,3,100,
119,1,69,2,6,,,
