version,2,reserved,reserved,reserved,reserved,reserved,reserved
Rogue XI,8VJUCVGY,,JTJ,2R9RCV9V,,CWLL1,
25,,,,,,,
2017/01/27,,,,,,,
1,DarkEagle,11,2G9LL09U,110,,11,110
2,Wryhorn,11,JQJQVL8Y,110,,11,110
3,Space12345,10,8002Y989,90,,10,90
4,Chris,10,229YCRYQV,90,,10,90
5,Aboy,10,VQ9PUJV2,90,,10,90
6,SwuTangClan,10,8G9LVLP0,90,,10,90
7,Tim66,10,GVC8V9G9,90,,10,90
8,Aran,9,28L2RQCCQ,70,,9,70
9,Mr. Pizza,9,LU2L8JUV,70,,9,70
10,UTiger13,9,2OVQLGRUJ,70,,9,70
11,Chop Chef Jr,9,82U9J8C,70,,9,70
12,Dirk N,9,8Y8V8J9C,70,,9,70
13,Ohio-Legend-216,9,29QLGYC9Q,70,,9,70
14,Batman,9,2QU9CC8,70,,9,70
15,Lacey Clan,9,R08YP9Q8,70,,9,70
16,Jippieh Yeah,9,YCYV88UV,70,,9,70
17,Amagnus,9,JVQ8JPQV,70,,9,70
18,Whooboy,9,22UOVV2JJ,70,,9,70
19,Avra's Secret,9,28LYQPRG,70,,9,70
20,RedACE,9,GRJLGCUQ,70,,9,70
21,Darth,9,VYY2PCJJ,70,,9,70
22,Michael,9,VU2V9CLV,70,,9,70
23,Leah's Daddy Time,9,2YQ00J0CR,70,,9,70
24,Joe,9,LG9GQQJ8,70,,9,70
25,Poz,9,PPRYLOUY,70,,9,70
1,,,12,25,3,100,
2,,,10,12,3,100,
3,,,20,17,1,91,
4,,,19,17,2,58,
5,3,100,14,12,,,
6,,,13,25,2,94,
7,,,8,12,3,100,
8,2,54,23,25,,,
9,,,22,22,3,100,
10,,,25,22,2,81,
11,,,9,19,2,97,
12,,,20,13,3,100,
13,,,11,23,3,100,
14,,,18,14,3,100,
15,2,71,24,24,,,
16,,,13,10,2,82,
17,0,47,21,3,,,
18,,,17,13,2,97,
19,,,16,23,3,100,
20,,,23,21,3,100,
21,,,14,14,2,95,
22,0,45,23,4,,,
23,3,100,15,16,,,
24,3,100,12,18,,,
25,3,100,15,14,,,
26,,,17,21,0,23,
27,2,93,12,20,,,
28,,,15,11,2,89,
29,3,100,13,9,,,
30,,,9,16,3,100,
31,,,14,16,2,84,
32,,,15,15,3,100,
33,2,80,10,15,,,
34,,,14,15,3,100,
35,2,98,9,19,,,
36,3,100,25,25,,,
37,3,100,9,15,,,
38,2,85,22,23,,,
39,2,64,17,19,,,
40,3,100,19,19,,,
41,2,89,19,11,,,
42,3,100,13,22,,,
43,3,100,8,17,,,
44,2,93,8,20,,,
45,3,100,18,11,,,
46,,,1,4,2,73,
47,,,24,20,3,100,
48,2,85,10,21,,,
49,,,7,20,2,58,
50,,,13,9,2,76,
51,0,39,21,5,,,
52,,,2,4,1,49,
53,,,21,9,3,100,
54,0,62,11,21,,,
55,3,100,24,13,,,
56,,,17,8,3,100,
57,2,50,22,6,,,
58,,,7,6,3,100,
59,,,13,8,3,100,
60,,,19,11,3,100,
61,,,25,19,2,99,
62,,,25,24,3,100,
63,3,100,20,21,,,
64,,,6,24,2,59,
65,2,95,11,23,,,
66,,,6,5,0,46,
67,3,100,18,10,,,
68,,,5,10,1,69,
69,1,90,20,24,,,
70,1,88,17,20,,,
71,0,47,3,1,,,
72,,,3,18,2,62,
73,2,82,25,23,,,
74,,,2,5,0,46,
75,,,4,18,1,52,
76,,,2,7,2,64,
77,3,100,2,3,,,
78,3,100,2,4,,,
79,0,33,4,2,,,
80,3,100,16,20,,,
81,,,6,6,3,100,
82,,,5,3,2,76,
83,,,4,2,3,100,
84,,,5,7,3,100,
85,3,100,16,23,,,
86,1,77,14,24,,,
87,,,3,3,1,56,
88,,,3,2,3,100,
89,,,1,1,1,70,
90,,,2,1,2,82,
91,1,73,1,6,,,
92,3,100,1,5,,,
93,2,54,5,7,,,
94,2,69,6,1,,,
95,2,64,4,7,,,
96,0,43,3,2,,,
97,0,42,7,8,,,
98,2,71,5,6,,,
99,3,100,6,8,,,
100,3,100,7,24,,,
