version,2,reserved,reserved,reserved,reserved,reserved,reserved
Predominance,X,,JTJ,2R9RCV9V,,LEAGUE,
25,,,,,,,
2017/01/31,,,,,,,
1,DarkEagle,11,2G9LL09U,110,,11,110
2,Wryhorn,11,JQJQVL8Y,110,,11,110
3,Space12345,10,8002Y989,90,,10,90
4,Chris,10,229YCRYQV,90,,10,90
5,Sno,10,GQV9G9VV,90,,10,90
6,SwuTangClan,10,8G9LVLP0,90,,10,90
7,Nato,10,2PQ9OVQOV,90,,10,90
8,Mr. Pizza,9,LU2L8JUV,70,,9,70
9,UTiger13,9,2OVQLGRUJ,70,,9,70
10,Chop Chef Jr,9,82U9J8C,70,,9,70
11,Dirk N,9,8Y8V8J9C,70,,9,70
12,Ohio-Legend-216,9,29QLGYC9Q,70,,9,70
13,Batman,9,2QU9CC8,70,,9,70
14,Lacey Clan,9,R08YP9Q8,70,,9,70
15,Jippieh Yeah,9,YCYV88UV,70,,9,70
16,Amagnus,9,JVQ8JPQV,70,,9,70
17,Whooboy,9,22UOVV2JJ,70,,9,70
18,Dada 1974,9,GQ0JCQJQ,70,,9,70
19,Avra's Secret,9,28LYQPRG,70,,9,70
20,RedACE,9,GRJLGCUQ,70,,9,70
21,Darth,9,VYY2PCJJ,70,,9,70
22,Michael,9,VU2V9CLV,70,,9,70
23,ellen,9,2PLYGVQ20,70,,9,70
24,Joe,9,LG9GQQJ8,70,,9,70
25,Poz,9,PPRYLOUY,70,,9,70
1,,,21,8,3,100,
2,,,16,8,1,52,
3,,,9,12,3,100,
4,,,23,25,3,100,
5,,,11,9,3,100,
6,,,8,18,3,100,
7,,,13,12,2,67,
8,3,100,25,24,,,
9,0,20,21,3,,,
10,,,24,25,3,100,
11,,,16,9,3,100,
12,,,12,16,3,100,
13,2,93,16,9,,,
14,3,100,16,17,,,
15,,,22,22,3,100,
16,3,100,21,25,,,
17,0,44,25,4,,,
18,2,71,10,14,,,
19,2,89,24,16,,,
20,,,10,18,2,67,
21,3,100,1,3,,,
22,3,100,14,11,,,
23,,,2,7,2,52,
24,,,20,23,1,86,
25,3,100,1,5,,,
26,2,85,22,23,,,
27,,,10,10,3,100,
28,2,98,14,13,,,
29,1,78,11,8,,,
30,1,53,5,1,,,
31,,,13,17,2,80,
32,,,17,22,3,100,
33,,,15,21,1,69,
34,3,100,11,9,,,
35,,,14,16,3,100,
36,2,76,12,14,,,
37,,,25,24,3,100,
38,,,1,11,0,32,
39,,,13,19,3,100,
40,,,19,23,2,80,
41,2,64,8,15,,,
42,3,100,9,10,,,
43,,,1,7,2,53,
44,1,67,8,18,,,
45,2,89,9,16,,,
46,3,100,20,13,,,
47,,,18,10,3,100,
48,3,100,19,12,,,
49,3,100,20,16,,,
50,,,20,17,3,100,
51,,,15,13,1,56,
52,2,94,19,21,,,
53,3,100,12,18,,,
54,1,33,22,6,,,
55,,,15,24,3,100,
56,,,19,14,3,100,
57,,,4,14,1,40,
58,,,3,20,2,53,
59,2,95,23,23,,,
60,,,5,11,2,57,
61,2,94,23,20,,,
62,,,6,20,1,59,
63,0,44,4,1,,,
64,3,100,18,22,,,
65,3,100,18,23,,,
66,2,82,4,7,,,
67,,,6,15,0,26,
68,,,3,2,2,95,
69,3,100,17,21,,,
70,,,7,15,2,66,
71,3,100,17,14,,,
72,3,100,13,15,,,
73,,,7,3,2,70,
74,,,6,21,1,55,
75,,,6,19,1,71,
76,2,90,24,19,,,
77,,,6,6,1,55,
78,,,6,4,2,82,
79,,,6,5,2,97,
80,1,62,15,20,,,
81,1,33,15,19,,,
82,,,7,13,1,46,
83,3,100,13,8,,,
84,0,43,3,1,,,
85,3,100,7,19,,,
86,2,82,10,20,,,
87,0,49,7,2,,,
88,3,100,5,20,,,
89,1,53,3,2,,,
90,,,6,3,3,100,
91,0,46,6,1,,,
92,,,7,6,2,83,
93,,,4,1,3,100,
94,2,57,6,2,,,
95,,,7,4,2,85,
96,,,5,5,2,67,
97,3,100,2,4,,,
98,,,5,1,3,100,
99,3,100,2,6,,,
100,,,7,2,3,100,
