version,2,reserved,reserved,reserved,reserved,reserved,reserved
Angry Irish,YQG2JPC8,,JTJ,2R9RCV9V,,S8,
30,,,,,,,
2017/02/1,,,,,,,
1,DarkEagle,11,2G9LL09U,109,1,11,109
2,Wryhorn,11,JQJQVL8Y,109,1,11,108
3,Space12345,10,8002Y989,89,,11,101
4,Chris,10,229YCRYQV,89,,11,101
5,Sno,10,GQV9G9VV,89,,11,96
6,SwuTangClan,10,8G9LVLP0,87,,11,95
7,Tim2,10,LR2RG888,87,,10,87
8,ThatAmagnus,10,GPGQC89C,86,,10,83
9,Corey,10,GLJRRGV9,71,,10,81
10,Eleazar,10,C8GRJVL0,70,,10,81
11,Aran,9,28L2RQCCQ,70,,10,81
12,UTiger13,9,2OVQLGRUJ,70,,10,79
13,Chop Chef Jr,9,82U9J8C,70,,11,76
14,Dirk N,9,8Y8V8J9C,70,,9,68
15,Ohio-Legend-216,9,29QLGYC9Q,70,,9,67
16,Whooboy,9,22UOVV2JJ,69,,9,67
17,Lacey Clan,9,R08YP9Q8,69,,9,67
18,Amagnus,9,JVQ8JPQV,69,,9,67
19,Dada 1974,9,GQ0JCQJQ,69,,9,67
20,Avra's Secret,9,28LYQPRG,69,,9,66
21,RedACE,9,GRJLGCUQ,68,,9,65
22,King Necto,9,V8QRQU9Y,68,,9,65
23,Darth,9,VYY2PCJJ,68,,9,65
24,Michael,9,VU2V9CLV,68,,9,65
25,Swu2,9,ULYCYCRR,67,,9,64
26,Aleister Crowle,9,Q9922RUU,66,,9,64
27,Joe,9,LG9GQQJ8,66,,9,61
28,Poz,9,PPRYLOUY,66,,9,59
29,Aila42,9,2QPRPGVVG,66,,10,59
30,Ren9,9,29CUGOGCR,65,,8,36
1,3,100,30,30,,,
2,3,100,30,28,,,
3,,,7,5,1,46,
4,3,100,29,27,,,
5,1,72,23,23,,,
6,3,100,17,16,,,
7,,,28,29,2,77,
8,,,9,6,3,100,
9,,,30,29,1,56,
10,3,100,29,25,,,
11,,,10,6,1,66,
12,3,100,17,15,,,
13,1,42,5,1,,,
14,,,8,8,1,40,
15,,,6,10,1,49,
16,,,8,17,2,52,
17,3,100,12,17,,,
18,3,100,13,21,,,
19,3,100,23,26,,,
20,3,100,27,18,,,
21,3,100,22,29,,,
22,1,91,19,20,,,
23,,,11,23,1,43,
24,2,91,28,23,,,
25,2,87,14,23,,,
26,3,100,19,24,,,
27,,,12,5,2,65,
28,1,52,12,14,,,
29,,,2,2,1,45,
30,2,75,22,20,,,
31,1,68,21,23,,,
32,2,56,14,14,,,
33,,,3,1,2,82,
34,3,100,18,19,,,
35,,,29,23,2,91,
36,3,100,13,22,,,
37,,,1,1,0,29,
38,3,100,18,14,,,
39,2,82,21,20,,,
40,3,100,25,23,,,
41,3,100,24,13,,,
42,,,27,24,1,47,
43,3,100,25,20,,,
44,1,60,20,11,,,
45,1,69,20,8,,,
46,0,46,15,10,,,
47,1,66,15,5,,,
48,2,97,11,9,,,
49,,,30,27,1,10,
50,,,4,2,2,57,
51,,,26,28,2,64,
52,2,68,10,12,,,
53,2,90,4,5,,,
54,1,84,11,12,,,
55,3,100,10,11,,,
56,1,82,4,4,,,
57,,,23,20,1,38,
58,,,15,15,2,65,
59,1,57,5,2,,,
60,,,13,8,1,49,
61,,,14,10,2,80,
62,3,100,16,12,,,
63,,,30,26,2,52,
64,,,5,27,1,33,
65,2,92,24,8,,,
66,1,76,16,8,,,
67,2,94,3,4,,,
68,,,24,24,1,37,
69,,,17,15,1,45,
70,,,27,20,2,54,
71,,,16,13,2,91,
72,1,50,27,13,,,
73,1,64,26,10,,,
74,,,18,19,3,100,
75,2,89,3,7,,,
76,0,43,28,10,,,
77,2,65,26,6,,,
78,,,7,13,2,50,
79,,,19,16,2,88,
80,,,20,19,2,55,
81,0,44,9,3,,,
82,1,62,6,2,,,
83,,,22,22,2,75,
84,,,21,12,2,70,
85,,,23,26,2,52,
86,1,97,6,4,,,
87,,,25,16,2,78,
88,,,24,22,2,72,
89,,,13,17,2,63,
90,3,100,9,6,,,
91,,,10,9,2,75,
92,2,89,8,10,,,
93,,,17,12,2,52,
94,3,100,2,3,,,
95,0,43,8,2,,,
96,1,71,7,10,,,
97,2,68,1,2,,,
98,2,75,1,1,,,
99,0,46,7,9,,,
100,1,60,2,1,,,
