version,2,reserved,reserved,reserved,reserved,reserved,reserved
Team WBT,V22YRQR,,JTJ,2R9RCV9V,,LEAGUE,
30,,,,,,,
2017/02/06,,,,,,,
1,DarkEagle,11,2G9LL09U,110,,11,110
2,Wryhorn,11,JQJQVL8Y,110,,11,110
3,Dirk D,10,8020PLU8,90,,10,90
4,Space12345,10,8002Y989,90,,10,90
5,Chris,10,229YCRYQV,90,,10,90
6,Atlas,10,RJ9PJ9CC,90,,10,90
7,Sno,10,GQV9G9VV,90,,10,90
8,Aboy,10,VQ9PUJV2,90,,10,90
9,SwuTangClan,10,8G9LVLP0,90,,10,90
10,Nato,10,2PQ9OVQOV,90,,10,90
11,ThatAmagnus,10,GPGQC89C,90,,10,90
12,UTiger13,9,2OVQLGRUJ,70,,9,70
13,Chop Chef Jr,9,82U9J8C,70,,9,70
14,Dirk N,9,8Y8V8J9C,70,,9,70
15,Ohio-Legend-216,9,29QLGYC9Q,70,,9,70
16,Lacey Clan,9,R08YP9Q8,70,,9,70
17,Batman,9,2QU9CC8,70,,9,70
18,Whooboy,9,22UOVV2JJ,70,,9,70
19,Jippieh Yeah,9,YCYV88UV,70,,9,70
20,Amagnus,9,JVQ8JPQV,70,,9,70
21,Avra's Secret,9,28LYQPRG,70,,9,70
22,Captain America,9,G9YRJ09,70,,9,70
23,RedACE,9,GRJLGCUQ,70,,9,70
24,King Necto,9,V8QRQU9Y,70,,9,70
25,Leah's Daddy Time,9,2YQ00J0CR,70,,9,70
26,Michael,9,VU2V9CLV,70,,9,70
27,ellen,9,2PLYGVQ20,70,,9,70
28,Joe,9,LG9GQQJ8,70,,9,70
29,Poz,9,PPRYLOUY,70,,9,70
30,Ren9,9,29CUGOGCR,70,,9,70
1,,,20,23,3,100,
2,3,100,30,30,,,
3,,,1523,1,46,,
4,,,14,15,2,93,
5,3,100,30,21,,,
6,,,27,30,2,86,
7,,,13,12,3,100,
8,,,29,29,3,100,
9,,,18,22,2,79,
10,,,21,18,2,78,
11,,,30,28,2,99,
12,3,100,18,20,,,
13,,,12,15,2,91,
14,,,23,18,2,93,
15,3,100,14,15,,,
16,,,22,24,2,99,
17,,,28,29,3,100,
18,,,12,12,3,100,
19,,,21,21,3,100,
20,2,98,27,22,,,
21,,,24,26,3,100,
22,2,98,21,18,,,
23,2,88,18,12,,,
24,3,100,14,14,,,
25,1,49,24,7,,,
26,3,100,21,24,,,
27,0,39,25,4,,,
28,2,70,25,5,,,
29,2,68,24,29,,,
30,3,100,29,29,,,
31,3,100,22,19,,,
32,3,100,22,23,,,
33,2,71,26,28,,,
34,2,84,15,12,,,
35,2,77,17,13,,,
36,1,44,26,6,,,
37,,,19,20,2,94,
38,,,25,20,2,77,
39,,,16,14,2,95,
40,3,100,27,26,,,
41,2,95,15,16,,,
42,,,14,13,2,90,
43,,,15,13,2,68,
44,2,85,13,28,,,
45,,,30,30,2,89,
46,2,97,28,28,,,
47,,,19,19,3,100,
48,,,1,6,0,46,
49,2,84,28,25,,,
50,,,2,6,2,50,
51,3,100,16,12,,,
52,0,44,7,1,,,
53,2,86,16,22,,,
54,3,100,7,17,,,
55,,,22,22,1,85,
56,,,27,28,3,100,
57,1,66,13,18,,,
58,3,100,12,13,,,
59,,,18,21,3,100,
60,2,83,17,18,,,
61,,,14,25,1,85,
62,,,22,25,2,86,
63,,,23,27,3,100,
64,,,30,24,3,100,
65,2,99,20,18,,,
66,3,100,29,28,,,
67,,,17,8,3,100,
68,,,25,14,3,100,
69,,,26,8,3,100,
70,,,10,11,1,37,
71,,,15,17,3,100,
72,2,89,12,25,,,
73,,,14,16,3,100,
74,2,98,20,22,,,
75,,,16,27,3,100,
76,,,22,26,2,86,
77,,,9,9,2,81,
78,3,100,23,22,,,
79,2,85,19,18,,,
80,1,76,6,3,,,
81,,,11,9,1,80,
82,,,22,17,1,75,
83,3,100,10,18,,,
84,,,22,16,0,48,
85,0,49,4,9,,,
86,2,58,19,25,,,
87,2,65,4,10,,,
88,,,22,19,2,98,
89,1,76,2,3,,,
90,3,100,10,16,,,
91,2,88,2,6,,,
92,3,100,11,27,,,
93,2,65,23,25,,,
94,,,22,7,3,100,
95,2,69,6,11,,,
96,,,1,4,0,49,
97,0,49,9,1,,,
98,3,100,3,8,,,
99,3,100,11,25,,,
100,,,3,2,3,100,
101,,,7,4,2,71,
102,,,5,1,2,91,
103,,,1,7,2,52,
104,,,8,11,2,61,
105,1,75,5,9,,,
106,2,55,3,3,,,
107,,,4,2,2,78,
108,2,62,5,1,,,
109,,,11,3,1,91,
110,1,49,8,4,,,
111,1,56,9,2,,,
112,,,8,5,2,77,
113,,,10,1,2,77,
114,1,68,8,9,,,
115,,,11,10,2,98,
116,,,6,3,2,69,
117,3,100,1,4,,,
118,,,11,5,0,11,
119,3,100,1,7,,,
120,,,6,10,2,85,
