version,2,reserved,reserved,reserved,reserved,reserved,reserved
Sasquatch,9PLRRVRU,,JTJ,2R9RCV9V,,S8,
30,,,,,,,
2017/02/08,,,,,,,
1,DarkEagle,11,2G9LL09U,110,,11,103
2,Wryhorn,11,JQJQVL8Y,110,,11,99
3,Dirk D,10,8020PLU8,90,,11,98
4,Space12345,10,8002Y989,90,,11,98
5,Chris,10,229YCRYQV,90,,11,97
6,Atlas,10,RJ9PJ9CC,90,,11,96
7,Sno,10,GQV9G9VV,90,,11,96
8,Aboy,10,VQ9PUJV2,90,,10,84
9,SwuTangClan,10,8G9LVLP0,90,,10,84
10,Nato,10,2PQ9OVQOV,90,,10,83
11,Tim66,10,GVC8V9G9,90,,10,83
12,ThatAmagnus,10,GPGQC89C,90,,10,82
13,Dang,10,R2RRRQ9Y,90,,10,82
14,Eleazar,10,C8GRJVL0,90,,10,82
15,Aran,9,28L2RQCCQ,70,,10,82
16,UTiger13,9,2OVQLGRUJ,70,,10,81
17,Chop Chef Jr,9,82U9J8C,70,,10,81
18,Dirk N,9,8Y8V8J9C,70,,10,81
19,Ohio-Legend-216,9,29QLGYC9Q,70,,10,77
20,Lacey Clan,9,R08YP9Q8,70,,9,67
21,Whooboy,9,22UOVV2JJ,70,,9,67
22,Amagnus,9,JVQ8JPQV,70,,9,66
23,Avra's Secret,9,28LYQPRG,70,,9,65
24,Captain America,9,G9YRJ09,70,,9,65
25,Leah's Daddy Time,9,2YQ00J0CR,70,,9,65
26,RedACE,9,GRJLGCUQ,70,,9,64
27,King Necto,9,V8QRQU9Y,70,,9,64
28,Darth,9,VYY2PCJJ,70,,9,62
29,Michael,9,VU2V9CLV,70,,9,62
30,Joe,9,LG9GQQJ8,70,,9,61
1,,,26,29,1,7,
2,3,100,28,30,,,
3,3,100,23,21,,,
4,,,27,29,1,25,
5,3,100,27,25,,,
6,1,57,23,18,,,
7,,,6,25,1,33,
8,1,50,21,18,,,
9,,,28,19,2,65,
10,3,100,15,20,,,
11,,,14,7,1,48,
12,,,13,20,2,50,
13,2,72,15,18,,,
14,,,15,20,1,47,
15,3,100,18,22,,,
16,2,95,7,3,,,
17,2,98,28,29,,,
18,,,24,25,2,54,
19,3,100,9,6,,,
20,3,100,18,23,,,
21,3,100,7,4,,,
22,,,16,18,2,72,
23,3,100,3,5,,,
24,,,17,19,1,51,
25,3,100,30,26,,,
26,1,87,12,11,,,
27,3,100,27,27,,,
28,,,18,16,2,55,
29,3,100,20,19,,,
30,2,83,20,17,,,
31,3,100,10,11,,,
32,2,57,12,1,,,
33,3,100,5,9,,,
34,,,23,24,2,71,
35,1,82,1,2,,,
36,1,73,16,15,,,
37,3,100,25,28,,,
38,2,93,1,1,,,
39,3,100,30,24,,,
40,3,100,10,13,,,
41,3,100,26,29,,,
42,,,20,5,2,75,
43,2,63,16,16,,,
44,,,19,23,1,2,
45,3,100,3,7,,,
46,2,83,26,18,,,
47,,,22,12,1,65,
48,2,82,25,14,,,
49,,,21,16,1,40,
50,,,11,7,1,25,
51,2,94,9,8,,,
52,3,100,5,8,,,
53,3,100,17,18,,,
54,,,29,15,2,52,
55,2,66,19,17,,,
56,2,68,17,10,,,
57,2,82,19,12,,,
58,1,73,22,16,,,
59,,,5,2,2,57,
60,,,25,21,0,49,
61,3,100,4,2,,,
62,,,11,10,1,29,
63,2,79,4,3,,,
64,2,51,29,17,,,
65,,,25,12,2,62,
66,,,30,24,2,56,
67,,,12,10,2,50,
68,,,8,3,0,48,
69,,,10,1,2,75,
70,1,66,21,17,,,
71,,,9,14,1,18,
72,2,61,29,15,,,
73,2,89,14,16,,,
74,1,85,13,15,,,
75,,,22,22,2,55,
76,1,58,6,3,,,
77,1,50,13,3,,,
78,3,100,14,7,,,
79,,,3,3,1,40,
80,1,72,22,17,,,
81,2,90,6,16,,,
82,,,27,15,2,63,
83,3,100,2,1,,,
84,0,25,24,17,,,
85,1,70,11,10,,,
86,,,7,1,2,54,
87,2,79,8,10,,,
88,3,100,8,12,,,
89,2,96,2,3,,,
90,,,4,2,1,45,
91,3,100,11,17,,,
