version,2,reserved,reserved,reserved,reserved,reserved,reserved
TNT,PPJ02LOG,,JTJ,2R9RCV9V,,S8,
40,,,,,,,
2017/02/11,,,,,,,
1,DarkEagle,11,2G9LL09U,109,,11,107
2,Wryhorn,11,JQJQVL8Y,109,,11,106
3,NHHung,11,UJLUU9CR,107,,11,106
4,Dirk D,10,8020PLU8,90,,11,105
5,Space12345,10,8002Y989,89,,11,105
6,CactusClan,10,2PQ89PQ82,89,,11,105
7,Chris,10,229YCRYQV,89,,11,103
8,Atlas,10,RJ9PJ9CC,89,,11,90
9,Sno,10,GQV9G9VV,89,,10,87
10,Aboy,10,VQ9PUJV2,88,,10,87
11,SwuTangClan,10,8G9LVLP0,87,,10,87
12,Nato,10,2PQ9OVQOV,87,,10,86
13,ThatAmagnus,10,GPGQC89C,87,,10,85
14,Tim66,10,GVC8V9G9,87,,10,84
15,Corey,10,GLJRRGV9,71,,10,84
16,Eleazar,10,C8GRJVL0,70,,10,81
17,Aran,9,28L2RQCCQ,70,,10,72
18,UTiger13,9,2OVQLGRUJ,70,,10,70
19,Chop Chef Jr,9,82U9J8C,70,,10,70
20,Dirk N,9,8Y8V8J9C,70,,11,70
21,Lacey Clan,9,R08YP9Q8,70,,10,70
22,Ohio-Legend-216,9,29QLGYC9Q,70,,10,69
23,Whooboy,9,22UOVV2JJ,69,,10,69
24,Jippieh Yeah,9,YCYV88UV,69,,9,68
25,Amagnus,9,JVQ8JPQV,69,,9,67
26,Alpha Omega,9,22CV9PPPR,69,,9,67
27,Avra's Secret,9,28LYQPRG,69,,9,67
28,Leah's Daddy Time,9,2YQ00J0CR,68,,9,67
29,RedACE,9,GRJLGCUQ,68,,10,67
30,Rusty Bolts,9,2PLJ9ULG,68,,9,67
31,King Necto,9,V8QRQU9Y,68,,9,66
32,Akorra,9,20QGUR2YQ,68,,9,65
33,Darth,9,VYY2PCJJ,68,,9,65
34,Michael,9,VU2V9CLV,68,,9,65
35,earlybird111,9,2QJPVLUP0,68,,10,65
36,Raptor,9,2PYYYQ0P,68,,9,64
37,SidDragon,9,2UC0Q0Y9Q,67,,9,63
38,Delta Kane,9,2CYUGLV9Q,67,,9,59
39,Swu2,9,ULYCYCRR,67,,11,57
40,Joe,9,LG9GQQJ8,66,,8,49
1,,,14,20,2,84,
2,,,9,6,2,60,
3,,,6,3,2,61,
4,,,33,30,2,93,
5,,,40,38,2,78,
6,,,26,23,2,93,
7,,,15,12,2,71,
8,,,40,32,1,69,
9,,,18,13,3,100,
10,2,69,9,1,,,
11,3,100,30,35,,,
12,,,1,2,1,55,
13,,,12,11,1,59,
14,,,39,39,0,49,
15,,,17,9,3,100,
16,3,100,33,36,,,
17,3,100,17,24,,,
18,,,16,20,2,94,
19,3,100,30,11,,,
20,3,100,28,37,,,
21,,,32,29,3,100,
22,3,100,17,28,,,
23,,,19,27,3,100,
24,1,53,28,6,,,
25,,,4,5,2,63,
26,2,97,26,34,,,
27,,,40,39,2,50,
28,2,59,5,2,,,
29,,,13,14,1,26,
30,,,11,14,1,26,
31,3,100,32,38,,,
32,2,91,5,15,,,
33,3,100,35,34,,,
34,3,100,20,19,,,
35,2,65,9,4,,,
36,3,100,25,25,,,
37,1,81,33,31,,,
38,3,100,27,17,,,
39,3,100,25,21,,,
40,3,100,14,16,,,
41,3,100,32,32,,,
42,2,98,36,39,,,
43,2,80,38,31,,,
44,3,100,31,30,,,
45,2,87,23,18,,,
46,3,100,20,20,,,
47,3,100,21,31,,,
48,3,100,21,18,,,
49,2,89,18,22,,,
50,1,83,1,9,,,
51,2,55,12,8,,,
52,3,100,1,11,,,
53,3,100,31,27,,,
54,1,73,35,26,,,
55,3,100,39,40,,,
56,2,88,37,23,,,
57,3,100,38,29,,,
58,3,100,22,26,,,
59,3,100,29,29,,,
60,0,47,4,14,,,
61,0,42,39,3,,,
62,,,3,6,1,41,
63,2,95,12,15,,,
64,1,55,29,5,,,
65,2,65,13,5,,,
66,0,48,19,10,,,
67,3,100,27,22,,,
68,1,52,40,13,,,
69,2,53,6,7,,,
70,1,80,36,23,,,
71,3,100,11,10,,,
72,1,53,6,3,,,
73,,,25,21,3,100,
74,1,66,13,6,,,
75,3,100,11,13,,,
76,,,26,21,2,73,
77,,,13,10,2,63,
78,2,85,7,12,,,
79,,,16,10,2,80,
80,2,59,22,23,,,
81,3,100,3,9,,,
82,,,21,19,3,100,
83,,,22,23,2,97,
84,,,23,16,2,74,
85,,,24,22,3,100,
86,,,20,19,2,95,
87,,,22,16,3,100,
88,,,5,5,1,38,
89,,,39,30,2,53,
90,,,37,24,2,79,
91,,,7,2,2,71,
92,2,89,24,23,,,
93,,,3,32,0,27,
94,,,38,36,2,51,
95,,,31,18,2,98,
96,,,30,33,1,93,
97,,,27,13,3,100,
98,3,100,14,15,,,
99,,,29,29,1,91,
100,2,69,7,14,,,
101,1,65,3,6,,,
102,,,30,18,1,59,
103,3,100,18,23,,,
104,,,34,34,2,82,
105,3,100,34,24,,,
106,2,60,23,6,,,
107,,,8,12,1,49,
108,0,46,19,14,,,
109,2,58,4,3,,,
110,,,28,22,2,75,
111,,,2,1,1,50,
112,,,10,7,2,63,
113,2,70,15,12,,,
114,,,35,35,2,80,
115,,,36,33,2,59,
116,,,30,36,2,65,
117,,,29,25,2,81,
118,,,3,1,1,48,
119,1,2,34,4,,,
120,,,40,24,2,93,
121,1,90,8,12,,,
122,,,26,11,3,100,
123,3,100,2,12,,,
124,2,73,40,24,,,
