version,2,reserved,reserved,reserved,reserved,reserved,reserved
PinoyViolatorMP,J08JJVQ,,JTJ,2R9RCV9V,,LEAGUE,
25,,,,,,,
2017/02/13,,,,,,,
1,DarkEagle,11,2G9LL09U,110,,11,110
2,Wryhorn,11,JQJQVL8Y,110,,11,110
3,Space12345,10,8002Y989,90,,10,90
4,Chris,10,229YCRYQV,90,,10,90
5,Atlas,10,RJ9PJ9CC,90,,10,90
6,Aboy,10,VQ9PUJV2,90,,10,90
7,SwuTangClan,10,8G9LVLP0,90,,10,90
8,Aran,9,28L2RQCCQ,70,,9,70
9,UTiger13,9,2OVQLGRUJ,70,,9,70
10,Chop Chef Jr,9,82U9J8C,70,,9,70
11,Dirk N,9,8Y8V8J9C,70,,9,70
12,Lacey Clan,9,R08YP9Q8,70,,9,70
13,Ohio-Legend-216,9,29QLGYC9Q,70,,9,70
14,Batman,9,2QU9CC8,70,,9,70
15,Whooboy,9,22UOVV2JJ,70,,9,70
16,Jippieh Yeah,9,YCYV88UV,70,,9,70
17,Amagnus,9,JVQ8JPQV,70,,9,70
18,Dada 1974,9,GQ0JCQJQ,70,,9,70
19,Avra's Secret,9,28LYQPRG,70,,9,70
20,Captain America,9,G9YRJ09,70,,9,70
21,Leah's Daddy Time,9,2YQ00J0CR,70,,9,70
22,RedACE,9,GRJLGCUQ,70,,9,70
23,Darth,9,VYY2PCJJ,70,,9,70
24,Michael,9,VU2V9CLV,70,,9,70
25,Joe,9,LG9GQQJ8,70,,9,70
1,,,22,22,3,100,
2,,,13,22,3,100,
3,,,17,21,1,81,
4,,,25,21,3,100,
5,,,11,11,2,90,
6,,,12,18,2,97,
7,2,89,25,11,,,
8,2,99,23,25,,,
9,,,14,18,3,100,
10,,,21,19,3,100,
11,0,46,23,3,,,
12,,,15,15,3,100,
13,,,17,19,3,100,
14,,,9,9,1,52,
15,3,100,15,8,,,
16,,,12,13,2,99,
17,3,100,22,9,,,
18,1,86,17,14,,,
19,3,100,15,14,,,
20,,,10,8,3,100,
21,2,99,19,12,,,
22,,,16,25,2,84,
23,,,18,17,3,100,
24,3,100,22,18,,,
25,2,93,19,17,,,
26,,,23,8,3,100,
27,2,86,13,10,,,
28,,,12,11,3,100,
29,3,100,21,21,,,
30,,,9,25,2,84,
31,,,24,24,2,90,
32,2,64,13,13,,,
33,,,24,23,2,52,
34,2,90,21,16,,,
35,,,20,23,3,100,
36,,,19,17,2,94,
37,,,16,15,2,52,
38,3,100,8,10,,,
39,,,8,24,2,97,
40,,,16,14,1,68,
41,,,11,9,2,71,
42,,,8,14,3,100,
43,,,16,20,1,78,
44,,,9,12,3,100,
45,,,16,13,2,99,
46,,,24,20,3,100,
47,3,100,18,25,,,
48,,,16,16,3,100,
49,,,11,16,1,86,
50,,,11,12,2,71,
51,2,54,14,15,,,
52,3,100,8,15,,,
53,2,98,20,11,,,
54,,,19,10,3,100,
55,3,100,18,24,,,
56,1,48,24,4,,,
57,2,76,11,22,,,
58,,,11,10,2,98,
59,2,72,10,20,,,
60,1,82,24,17,,,
61,,,11,7,3,100,
62,2,83,25,23,,,
63,2,85,12,22,,,
64,1,52,9,20,,,
65,3,100,12,23,,,
66,2,75,9,11,,,
67,,,2,5,0,44,
68,,,1,7,2,53,
69,2,81,10,22,,,
70,0,43,7,2,,,
71,,,6,5,2,83,
72,3,100,11,17,,,
73,1,62,20,22,,,
74,3,100,14,11,,,
75,,,2,6,1,45,
76,1,52,7,1,,,
77,3,100,4,19,,,
78,,,4,6,2,61,
79,3,100,16,16,,,
80,2,70,3,7,,,
81,2,97,17,12,,,
82,,,5,4,2,81,
83,,,2,3,0,48,
84,2,50,3,2,,,
85,,,2,4,0,46,
86,,,3,3,2,70,
87,3,100,16,12,,,
88,3,100,6,22,,,
89,3,100,5,20,,,
90,2,65,4,1,,,
91,,,7,2,3,100,
92,2,82,1,6,,,
93,2,91,5,13,,,
94,2,99,1,5,,,
95,3,100,6,13,,,
96,,,5,1,3,100,
97,,,4,2,3,100,
98,1,92,2,3,,,
99,,,2,1,1,55,
100,3,100,2,4,,,
