version,2,reserved,reserved,reserved,reserved,reserved,reserved
Elite Gaming,RY8CR9PY,,JTJ,2R9RCV9V,,S8,
40,,,,,,,
2017/02/15,,,,,,,
1,DarkEagle,11,2G9LL09U,110,,11,109
2,Wryhorn,11,JQJQVL8Y,110,,11,108
3,Butterburger,11,PLQLJ8QU,110,,11,108
4,NHHung,11,UJLUU9CR,110,,11,107
5,Intel,11,L22Y2R2R,110,,11,106
6,Dirk D,10,8020PLU8,90,,10,89
7,Space12345,10,8002Y989,90,,10,89
8,CactusClan,10,2PQ89PQ82,90,,10,89
9,Chris,10,229YCRYQV,90,,10,89
10,Atlas,10,RJ9PJ9CC,90,,10,88
11,Sno,10,GQV9G9VV,90,,10,88
12,Aboy,10,VQ9PUJV2,90,,10,88
13,SwuTangclan,10,8G9LVLP0,90,,10,88
14,Nato,10,2PQ9OVQOV,90,,10,88
15,ThatAmagnus,10,GPGQC89C,90,,10,86
16,Tim66,10,GVC8V9G9,90,,10,85
17,Corey,10,GLJRRGV9,90,,9,70
18,Eleazar,10,C8GRJVL0,90,,9,70
19,Aran,9,28L2RQCCQ,70,,9,70
20,UTiger13,9,2OVQLGRUJ,70,,9,70
21,Chop Chef Jr,9,82U9J8C,70,,9,70
22,Dirk N,9,8Y8V8J9C,70,,9,70
23,Lacey Clan,9,R08YP9Q8,70,,9,70
24,cuVax,9,U8CJQRRC,70,,9,70
25,Ohio-Legend-216,9,29QLGYC9Q,70,,9,70
26,Whooboy,9,22UOVV2JJ,70,,9,70
27,Jippieh Yeah,9,YCYV88UV,70,,9,70
28,Amagnus,9,JVQ8JPQV,70,,9,69
29,Dada 1974,9,GQ0JCQJQ,70,,9,69
30,Avra's Secret,9,28LYQPRG,70,,9,69
31,Leah's Daddy Time,9,2YQ00J0CR,70,,9,69
32,RedACE,9,GRJLGCUQ,70,,9,69
33,King Necto,9,V8QRQU9Y,70,,9,69
34,Darth,9,VYY2PCJJ,70,,9,69
35,Michael,9,VU2V9CLV,70,,9,69
36,Raptor,9,2PYYYQ0P,70,,9,69
37,Kok Knocker,9,YGRYQVGG,70,,9,68
38,Swu2,9,ULYCYCRR,70,,9,68
39,Joe,9,LG9GQQJ8,70,,9,68
40,Poz,9,PPRYLOUY,70,,9,68
1,,,38,40,1,74,
2,,,37,37,3,100,
3,,,27,38,1,64,
4,,,10,5,3,100,
5,,,30,25,3,100,
6,,,36,32,2,95,
7,,,2,13,0,46,
8,,,32,31,0,33,
9,,,19,37,2,89,
10,,,34,40,1,97,
11,3,100,22,18,,,
12,,,33,38,2,63,
13,,,6,3,3,100,
14,,,2,12,0,42,
15,,,35,34,3,100,
16,,,38,29,2,97,
17,2,72,34,39,,,
18,,,21,25,3,100,
19,,,34,31,3,100,
20,3,100,33,36,,,
21,,,5,13,1,58,
22,1,64,37,38,,,
23,,,39,34,3,100,
24,3,100,39,17,,,
25,,,4,11,2,54,
26,3,100,24,20,,,
27,2,77,20,21,,,
28,,,9,5,3,100,
29,,,3,9,0,27,
30,,,25,20,1,67,
31,,,24,24,2,85,
32,,,5,16,0,45,
33,3,100,22,23,,,
34,,,28,30,1,80,
35,,,31,27,1,72,
36,,,23,20,2,94,
37,1,62,34,35,,,
38,3,100,25,19,,,
39,3,100,24,27,,,
40,,,11,4,1,90,
41,,,20,23,3,100,
42,,,28,26,3,100,
43,,,12,4,3,100,
44,2,52,20,26,,,
45,,,32,33,2,73,
46,,,22,17,2,80,
47,,,3,15,2,56,
48,2,98,40,40,,,
49,3,100,1,7,,,
50,,,23,21,3,100,
51,2,91,38,39,,,
52,3,100,40,39,,,
53,,,27,23,3,100,
54,,,24,22,3,100,
55,,,19,26,3,100,
56,3,100,32,21,,,
57,,,31,30,3,100,
58,,,26,33,2,90,
59,,,29,17,2,84,
60,3,100,38,35,,,
61,2,97,25,28,,,
62,,,25,27,3,100,
63,,,26,22,3,100,
64,3,100,30,25,,,
65,,,22,21,2,88,
66,3,100,30,29,,,
67,,,38,2,2,79,
