version,2,reserved,reserved,reserved,reserved,reserved,reserved
Team South Korea,Y9PPLOV8,,JTJ,2R9RCV9V,,S8,
40,,,,,,,
2017/02/17,,,,,,,
1,DarkEagle,11,2G9LL09U,110,,11,109
2,Wryhorn,11,JQJQVL8Y,110,,11,109
3,Butterburger,11,PLQLJ8QU,110,,11,109
4,DarthCarlos11,11,RVQRQL2Y,110,,11,108
5,NHHung,11,UJLUU9CR,110,,11,108
6,Intel,11,L22Y2R2R,110,,11,106
7,Dirk D,10,8020PLU8,90,,11,93
8,Space12345,10,8002Y989,90,,11,92
9,CactusClan,10,2PQ89PQ82,90,,11,92
10,Chris,10,229YCRYQV,90,,11,91
11,Sno,10,GQV9G9VV,90,,11,89
12,Atlas,10,RJ9PJ9CC,90,,10,89
13,Aboy,10,VQ9PUJV2,90,,11,89
14,SwuTangClan,10,8G9LVLP0,90,,10,88
15,Nato,10,2PQ9OVQOV,90,,11,74
16,ThatAmagnus,10,GPGQC89C,90,,10,73
17,Tim66,10,GVC8V9G9,90,,10,73
18,Corey,10,GLJRRGV9,90,,10,72
19,Eleazar,10,C8GRJVL0,90,,10,72
20,Aran,9,28L2RQCCQ,70,,11,71
21,Chop Chef Jr,9,82U9J8C,70,,10,70
22,Dirk N,9,8Y8V8J9C,70,,10,70
23,Lacey Clan,9,R08YP9Q8,70,,10,70
24,cuVaX,9,U8CJQRRC,70,,10,70
25,Ohio-Legend-216,9,29QLGYC9Q,70,,10,70
26,Whooboy,9,22UOVV2JJ,70,,11,70
27,Jippieh Yeah,9,YCYV88UV,70,,11,68
28,Amagnus,9,JVQ8JPQV,70,,9,67
29,Avra's Secret,9,28LYQPRG,70,,9,67
30,Leah's Daddy Time,9,2YQ00J0CR,70,,9,67
31,Captain America,9,G9YRJ09,70,,9,63
32,Rusty Bolts,9,2PLJ9ULG,70,,9,59
33,King Necto,9,V8QRQU9Y,70,,9,57
34,Darth,9,VYY2PCJJ,70,,11,55
35,Michael,9,VU2V9CLV,70,,8,52
36,Raptor,9,2PYYYQ0P,70,,8,49
37,Kok Knocker,9,YGRYQVGG,70,,11,40
38,Swu2,9,ULYCYCRR,70,,11,31
39,Joe,9,LG9GQQJ8,70,,11,27
40,Poz,9,PPRYLOUY,70,,10,18
1,2,70,22,25,,,
2,3,100,37,33,,,
3,2,57,11,1,,,
4,,,20,34,3,100,
5,3,100,40,34,,,
6,3,100,31,40,,,
7,3,100,31,39,,,
8,,,6,2,2,71,
9,1,69,23,24,,,
10,2,72,11,6,,,
11,2,54,9,4,,,
12,2,55,23,23,,,
13,2,95,34,31,,,
14,3,100,33,32,,,
15,3,100,24,29,,,
16,3,100,26,24,,,
17,,,37,29,2,81,
18,3,100,37,35,,,
19,3,100,22,28,,,
20,,,12,37,3,100,
21,3,100,38,38,,,
22,2,92,24,23,,,
23,3,100,34,36,,,
24,,,24,21,3,100,
25,,,17,11,2,75,
26,2,99,1,9,,,
27,,,40,32,2,56,
28,,,7,2,3,100,
29,2,83,26,26,,,
30,,,27,21,3,100,
31,3,100,33,31,,,
32,3,100,38,37,,,
33,,,22,34,3,100,
34,,,39,31,3,100,
35,,,17,26,2,75,
36,,,26,22,2,86,
37,3,100,1,13,,,
38,2,60,9,7,,,
39,,,29,23,3,100,
40,1,48,7,3,,,
41,,,38,9,1,69,
42,,,25,16,2,81,
43,,,36,25,2,95,
44,,,33,22,3,100,
45,,,36,23,3,100,
46,2,66,6,5,,,
47,,,38,31,1,52,
48,,,35,35,2,54,
49,,,8,33,1,32,
50,,,32,24,3,100,
51,,,14,8,2,57,
52,3,100,30,27,,,
53,,,7,33,1,10,
54,,,13,27,1,70,
55,1,73,30,22,,,
56,0,49,29,21,,,
57,,,34,19,3,100,
58,,,19,39,3,100,
59,,,18,11,3,100,
60,0,41,36,30,,,
61,,,11,6,2,84,
62,,25,24,3,100,,
63,,,11,37,2,92,
64,,,38,32,2,87,
65,1,97,29,22,,,
66,,,16,39,2,92,
67,1,96,25,23,,,
68,,,17,27,3,100,
69,,,16,26,2,76,
70,3,100,25,26,,,
71,,,15,13,1,53,
72,,,21,18,3,100,
73,3,100,20,30,,,
74,,,31,35,2,58,
75,,,10,6,3,100,
76,,,16,13,1,78,
77,,,23,38,3,100,
78,,,28,38,3,100,
79,,,40,30,2,72,
80,,,9,9,3,100,
81,1,67,20,3,,,
82,,,30,19,3,100,
83,,,37,16,3,100,
84,,,35,17,3,100,
85,,,26,14,2,98,
86,0,42,35,10,,,
87,,,1,20,2,55,
88,,,31,18,2,87,
89,,,38,25,2,75,
90,,,4,3,2,6,
91,,,2,20,1,74,
92,,,31,14,3,100,
93,2,92,21,22,,,
94,,,40,28,3,100,
95,,,13,5,0,40,
96,2,96,35,25,,,
97,,,26,12,3,100,
98,,,38,28,3,100,
99,,,15,15,0,38,
100,,,5,9,1,61,
101,,,8,7,3,100,
102,,,3,3,1,64,
103,2,73,40,25,,,
104,3,100,27,25,,,
105,,,16,5,1,81,
106,,,16,8,1,62,
107,,,16,7,1,77,
108,,,16,30,0,27,
109,,,14,15,1,48,
110,1,50,39,22,,,
111,,,5,12,0,46,
112,,,3,40,0,31,
113,0,46,15,3,,,
114,3,100,28,23,,,
115,0,33,39,8,,,
116,2,66,27,22,,,
117,2,63,36,19,,,
118,,,3,1,2,90,
119,2,78,28,22,,,
120,,,5,17,1,40,
121,,,15,4,3,100,
122,,,2,40,1,40,
123,1,47,12,3,,,
124,,,2,1,3,100,
125,,,13,4,3,100,
126,3,100,19,19,,,
127,0,40,12,2,,,
128,1,84,18,20,,,
129,2,55,6,3,,,
130,3,100,4,12,,,
131,3,100,18,22,,,
132,3,100,15,18,,,
133,3,100,19,21,,,
134,2,57,16,2,,,
135,1,88,5,8,,,
136,0,39,21,14,,,
137,1,81,14,14,,,
138,2,98,16,17,,,
139,2,63,10,14,,,
140,3,100,4,8,,,
141,3,100,13,15,,,
142,3,100,8,16,,,
143,3,100,10,17,,,
144,3,100,5,11,,,
145,3,100,2,10,,,
146,2,73,14,4,,,
147,2,93,17,20,,,
148,1,57,3,7,,,
149,1,63,8,14,,,
150,,,11,36,1,9,
151,,,12,36,1,7,
152,3,100,7,20,,,
153,2,75,17,14,,,
154,0,32,13,14,,,
155,,,16,10,1,82,
156,2,88,3,14,,,
157,,,5,10,2,68,
158,3,100,2,14,,,
