version,2,reserved,reserved,reserved,reserved,reserved,reserved
Grumpy Old Men,RJVPRQU,,JTJ,2R9RCV9V,,LEAGUE,
25,,,,,,,
2017/02/19,,,,,,,
1,DarkEagle,11,2G9LL09U,110,,11,110
2,Wryhorn,11,JQJQVL8Y,110,,11,110
3,DarthCarlos11,11,RVQRQL2Y,110,,11,110
4,Space12345,10,8002Y989,90,,10,90
5,CactusClan,10,2PQ89PQ82,90,,10,90
6,Chris,10,229YCRYQV,90,,10,90
7,Sno,10,GQV9G9VV,90,,10,90
8,Atlas,10,RJ9PJ9CC,90,,10,90
9,Aboy,10,VQ9PUJV2,90,,10,90
10,SwuTangClan,10,8G9LVLP0,90,,10,90
11,Nato,10,2PQ9OVQOV,90,,10,90
12,Chop Chef Jr,9,82U9J8C,70,,9,70
13,Dirk N,9,8Y8V8J9C,70,,9,70
14,Lacey Clan,9,R08YP9Q8,70,,9,70
15,cuVax,9,U8CJQRRC,70,,9,70
16,Ohio-Legend-216,9,29QLGYC9Q,70,,9,70
17,Batman,9,2QU9CC8,70,,9,70
18,Amagnus,9,JVQ8JPQV,70,,9,70
19,Avra's Secret,9,28LYQPRG,70,,9,70
20,Leah's Daddy Time,9,2YQ00J0CR,70,,9,70
21,RedACE,9,GRJLGCUQ,70,,9,70
22,King Necto,9,V8QRQU9Y,70,,9,70
23,Michael,9,VU2V9CLV,70,,9,70
24,Joe,9,LG9GQQJ8,70,,9,70
25,Poz,9,PPRYLOUY,70,,9,70
1,3,100,19,12,,,
2,,,18,21,3,100,
3,3,100,16,18,,,
4,3,100,17,17,,,
5,,,14,19,3,100,
6,,,1,7,0,35,
7,,,15,16,2,99,
8,,,17,21,3,100,
9,2,56,16,14,,,
10,,,24,25,1,98,
11,,,12,16,3,100,
12,3,100,13,13,,,
13,2,78,21,22,,,
14,,,23,25,2,77,
15,,,21,24,3,100,
16,2,77,18,20,,,
17,,,1,11,1,48,
18,,,13,17,2,65,
19,,,16,17,2,90,
20,3,100,13,15,,,
21,2,91,22,25,,,
22,0,49,19,24,,,
23,0,31,22,3,,,
24,3,100,25,25,,,
25,,,3,11,2,52,
26,2,62,15,16,,,
27,3,100,21,14,,,
28,3,100,23,24,,,
29,,,23,24,2,98,
30,,,20,23,2,69,
31,2,84,24,22,,,
32,2,58,25,9,,,
33,,,22,23,2,98,
34,1,94,24,23,,,
35,0,47,20,21,,,
36,,,25,20,3,100,
37,,,23,19,3,100,
38,2,76,20,23,,,
39,,,19,13,3,100,
40,3,100,15,19,,,
41,,,2,10,0,41,
42,1,95,18,23,,,
43,3,100,12,21,,,
44,,,16,15,3,100,
45,1,73,12,22,,,
46,2,56,8,10,,,
47,,,15,12,1,63,
48,2,98,23,23,,,
49,,,15,15,3,100,
50,,,22,20,3,100,
51,,,2,7,2,52,
52,,,13,12,1,80,
53,,,24,22,3,100,
54,3,100,17,22,,,
55,2,95,6,9,,,
56,,,13,14,3,100,
57,3,100,7,16,,,
58,3,100,14,20,,,
59,,,20,22,2,82,
60,1,62,7,3,,,
61,2,65,6,1,,,
62,,,20,18,3,100,
63,2,80,11,11,,,
64,1,68,10,10,,,
65,,,4,13,0,44,
66,2,94,14,23,,,
67,0,35,10,2,,,
68,2,52,11,3,,,
69,2,97,4,9,,,
70,,,1,9,0,43,
71,,,5,18,0,49,
72,2,52,5,2,,,
73,,,10,14,1,56,
74,,,4,1,3,100,
75,2,98,8,23,,,
76,,,10,9,2,83,
77,,,5,3,3,100,
78,,,8,2,3,100,
79,,,11,8,2,59,
80,1,67,1,6,,,
81,2,66,9,5,,,
82,,,6,6,2,64,
83,2,98,3,6,,,
84,3,100,1,8,,,
85,,,10,4,1,54,
86,3,100,5,23,,,
87,1,55,2,7,,,
88,2,56,9,4,,,
89,3,100,3,7,,,
90,,,10,5,2,97,
91,3,100,2,10,,,
92,,,1,10,2,50,
93,,,9,4,2,85,
94,,,11,5,1,45,
95,,,7,8,2,59,
96,2,71,4,4,,,
97,,,9,2,3,100,
98,,,11,1,3,100,
99,,,7,3,3,100,
100,,,10,6,1,76,
