version,2,reserved,reserved,reserved,reserved,reserved,reserved
Cani Sciolti,82JPLQPY,,JTJ,2R9RCV9V,,S8,
30,,,,,,,
2017/02/21,,,,,,,
1,DarkEagle,11,2G9LL09U,109,,11,108
2,Wryhorn,11,JQJQVL8Y,109,,11,108
3,DarthCarlos11,11,RVQRQL2Y,109,,11,108
4,NHHung,11,UJLUU9CR,108,,11,108
5,Space12345,10,8002Y989,90,,10,89
6,CactusClan,10,2PQ89PQ82,89,,10,89
7,Chris,10,229YCRYQV,89,,10,89
8,Sno,10,GQV9G9VV,89,,10,89
9,Atlas,10,RJ9PJ9CC,89,,10,89
10,Aboy,10,VQ9PUJV2,88,,10,88
11,SwuTangClan,10,8G9LVLP0,87,,10,88
12,Nato,10,2PQ9OVQOV,87,,10,88
13,ThatAmagnus,10,GPGQC89C,87,,10,87
14,Tim66,10,GVC8V9G9,87,,9,70
15,Corey,10,GLJRRGV9,72,,9,70
16,Eleazar,10,C8GRJVL0,71,,9,70
17,Aran,9,28L2RQCCQ,70,,9,70
18,Chop Chef Jr,9,82U9J8C,70,,9,70
19,Dirk N,9,8Y8V8J9C,70,,9,70
20,Ohio-Legend-216,9,29QLGYC9Q,70,,9,69
21,Amagnus,9,JVQ8JPQV,69,,9,69
22,Avra's Secret,9,28LYQPRG,69,,9,69
23,Captain America,9,G9YRJ09,69,,9,69
24,Sharent,9,YGQQ89LR,69,,9,69
25,Double G,9,JY8R9G9U,68,,9,69
26,King Necto,9,V8QRQU9Y,68,,9,69
27,Darth,9,VYY2PCJJ,68,,9,69
28,Michael,9,VU2V9CLV,68,,9,68
29,Joe,9,LG9GQQJ8,66,,9,67
30,Poz,9,PPRYLOUY,66,,9,65
1,,,17,14,3,100,
2,,,27,17,0,17,
3,1,81,23,18,,,
4,,,22,15,3,100,
5,2,83,30,30,,,
6,,,23,26,3,100,
7,,,20,16,2,91,
8,,,18,22,3,100,
9,,,29,25,1,65,
10,,,19,15,3,100,
11,,,21,27,1,60,
12,,,25,21,3,100,
13,3,100,26,30,,,
14,,,30,29,3,100,
15,1,67,17,14,,,
16,,,28,17,3,100,
17,,,16,19,3,100,
18,,,24,23,3,100,
19,,,27,26,3,100,
20,2,77,17,22,,,
21,,,26,21,3,100,
22,,,29,27,3,100,
23,,,21,28,2,71,
24,2,72,23,20,,,
25,0,31,27,1,,,
26,,,21,19,3,100,
27,0,48,30,2,,,
28,2,91,29,17,,,
29,,,20,14,3,100,
30,3,100,1,8,,,
31,2,55,8,3,,,
32,,,14,20,2,68,
33,2,99,1,7,,,
34,0,30,25,4,,,
35,3,100,19,15,,,
36,3,100,18,24,,,
37,2,61,8,1,,,
38,1,50,12,2,,,
39,2,91,25,26,,,
40,1,63,19,17,,,
41,1,51,27,28,,,
42,3,100,28,29,,,
43,2,93,16,16,,,
44,0,42,6,4,,,
45,2,99,20,21,,,
46,1,46,9,2,,,
47,,,13,29,2,63,
48,2,86,18,19,,,
49,1,81,21,17,,,
50,2,85,20,25,,,
51,2,88,21,26,,,
52,,,13,8,1,61,
53,1,43,13,2,,,
54,,,18,28,2,89,
55,,,9,20,1,47,
56,,,12,25,0,46,
57,,,12,11,2,89,
58,3,100,26,21,,,
59,,,2,10,1,60,
60,,,7,23,0,45,
61,,,5,2,3,100,
62,2,81,24,14,,,
63,0,31,12,4,,,
64,,,3,13,2,59,
65,2,74,2,5,,,
66,,,4,10,2,57,
67,3,100,15,23,,,
68,,,12,8,2,95,
69,3,100,15,18,,,
70,1,99,2,6,,,
71,,,9,2,1,70,
72,3,100,28,26,,,
73,3,100,16,27,,,
74,2,78,24,25,,,
75,,,10,18,0,31,
76,1,49,14,2,,,
77,,,12,9,3,100,
78,,,9,7,1,73,
79,,,14,30,1,86,
80,,,10,6,2,66,
81,3,100,22,28,,,
82,,,9,4,3,100,
83,,,10,5,1,62,
84,3,100,3,12,,,
85,1,80,5,9,,,
86,3,100,4,6,,,
87,,,10,13,1,60,
88,,,13,9,1,50,
89,,,1,6,0,45,
90,,,11,18,2,66,
91,,,7,7,1,56,
92,3,100,22,25,,,
93,,,15,30,3,100,
94,,,10,4,0,40,
95,3,100,4,10,,,
96,,,13,3,3,100,
97,,,8,24,2,62,
98,3,100,14,16,,,
99,3,100,10,14,,,
100,1,68,5,13,,,
101,2,75,3,11,,,
102,3,100,10,19,,,
103,3,100,9,17,,,
104,2,90,6,20,,,
105,,,2,5,2,52,
106,1,73,29,20,,,
107,,,6,22,1,68,
108,3,100,13,22,,,
109,,,7,24,2,63,
110,1,50,7,4,,,
111,,,14,12,2,71,
112,,,1,12,0,39,
113,,,1,11,2,50,
114,,,6,3,3,100,
115,1,73,11,13,,,
116,1,84,7,9,,,
117,,,10,1,0,30,
118,,,9,1,1,20,
119,1,49,11,2,,,
120,,,8,16,1,10,
