version,2,reserved,reserved,reserved,reserved,reserved,reserved
Black Apple,988L8YCJ,,JTJ,2R9RCV9V,,S8,
30,,,,,,,
2017/02/23,,,,,,,
1,DarkEagle,11,2G9LL09U,109,,11,109
2,Wryhorn,11,JQJQVL8Y,109,,11,109
3,DarthCarlos11,11,RVQRQL2Y,109,,11,109
4,NHHung,11,UJLUU9CR,108,,11,107
5,Space12345,10,8002Y989,90,,10,89
6,CactusClan,10,2PQ89PQ82,89,,10,89
7,Chris,10,229YCRYQV,89,,10,89
8,Atlas,10,RJ9PJ9CC,89,,10,89
9,Sno,10,GQV9G9VV,89,,10,89
10,Aboy,10,VQ9PUJV2,88,,10,89
11,SwuTangclan,10,8G9LVLP0,87,,10,89
12,Nato,10,2PQ9OVQOV,87,,10,89
13,ThatAmagnus,10,GPGQC89C,87,,10,85
14,Tim66,10,GVC8V9G9,87,,10,85
15,Chop Chef Jr,9,82U9J8C,70,,9,70
16,Dirk N,9,8Y8V8J9C,70,,9,70
17,Lacey Clan,9,R08YP9Q8,70,,9,70
18,cuVaX,9,U8CJQRRC,70,,9,70
19,Ohio-Legend-216,9,29QLGYC9Q,70,,9,70
20,Whooboy,9,22UOVV2JJ,69,,9,70
21,Dada 1974,9,GQ0JCQJQ,69,,9,70
22,Steves Cheese,9,YGGUQCG9,69,,9,70
23,Avra's Secret,9,28LYQPRG,69,,9,70
24,Captain America,9,G9YRJ09,69,,9,70
25,sharent,9,YGQQ89LR,69,,9,69
26,RedACE,9,GRJLGCUQ,68,,9,69
27,king necto,9,V8QRQU9Y,68,,9,69
28,Darth,9,VYY2PCJJ,68,,9,69
29,michael,9,VU2V9CLV,68,,9,69
30,Poz,9,PPRYLOUY,66,,9,68
1,2,93,27,30,,,
2,,,18,30,3,100,
3,0,47,9,3,,,
4,3,100,23,17,,,
5,,,23,23,2,88,
6,1,76,18,19,,,
7,,,15,28,3,100,
8,,,24,18,2,82,
9,,,4,5,0,42,
10,,,21,22,3,100,
11,3,100,24,21,,,
12,3,100,23,18,,,
13,,,22,25,1,85,
14,,,19,24,3,100,
15,,,16,21,3,100,
16,,1,44,9,4,,
17,,,30,29,3,100,
18,,,20,20,3,100,
19,,,26,27,2,74,
20,3,100,1,6,,,
21,,,22,18,3,100,
22,,,17,21,3,100,
23,2,63,27,29,,,
24,1,58,28,30,,,
25,,,25,26,3,100,
26,,,14,20,1,48,
27,,,14,10,2,72,
28,,,28,22,3,100,
29,,,1,6,2,65,
30,3,100,21,29,,,
31,,,23,25,3,100,
32,3,100,26,19,,,
33,,,29,23,2,79,
34,2,91,30,30,,,
35,3,100,16,22,,,
36,3,100,21,30,,,
37,,,24,19,2,78,
38,,,3,6,2,59,
39,0,33,28,5,,,
40,3,100,19,25,,,
41,,,13,10,0,45,
42,2,85,16,23,,,
43,,,6,3,3,100,
44,2,86,18,24,,,
45,,,29,26,3,100,
46,3,100,26,15,,,
47,0,29,13,4,,,
48,1,44,30,7,,,
49,3,100,22,28,,,
50,,,27,24,3,100,
51,2,52,12,4,,,
52,0,44,6,2,,,
53,0,40,13,1,,,
54,1,85,20,23,,,
55,,,24,17,1,68,
56,2,62,12,2,,,
57,,,24,29,2,69,
58,1,45,6,3,,,
59,3,100,1,5,,,
60,,,4,14,2,56,
61,,,10,17,0,39,
62,,,12,14,1,63,
63,3,100,15,16,,,
64,3,100,19,26,,,
65,,,2,11,0,43,
66,,,14,7,2,98,
67,2,98,15,27,,,
68,,,13,9,2,89,
69,,,26,15,2,83,
70,1,46,24,20,,,
71,2,86,29,27,,,
72,3,100,25,23,,,
73,,,26,16,3,100,
74,2,95,17,20,,,
75,1,56,25,27,,,
76,,,24,13,3,100,
77,,,5,15,2,54,
78,3,100,29,24,,,
79,,,9,30,1,46,
80,2,68,17,27,,,
81,,,2,12,0,39,
82,3,100,22,27,,,
83,2,74,2,9,,,
84,,,11,16,2,56,
85,,,14,9,3,100,
86,,,12,13,1,70,
87,2,73,20,20,,,
88,2,82,2,10,,,
89,,,8,28,2,55,
90,,,10,19,1,52,
91,,,7,27,1,39,
92,,,2,8,2,53,
93,,,10,11,2,56,
94,2,81,8,14,,,
95,2,84,10,11,,,
96,,,9,5,2,76,
97,,,10,8,2,74,
98,,,12,12,2,76,
99,0,37,8,1,,,
100,,,7,2,2,99,
101,2,67,4,7,,,
102,3,100,3,8,,,
103,,,13,7,2,98,
104,1,84,11,13,,,
105,,,8,3,1,68,
106,2,97,5,14,,,
107,0,42,14,3,,,
108,,,5,4,2,85,
109,3,100,7,13,,,
110,,,8,1,3,100,
111,1,50,11,1,,,
112,,,12,2,1,81,
113,2,98,4,12,,,
114,0,43,5,3,,,
115,0,31,7,1,,,
116,3,100,10,20,,,
117,3,100,3,14,,,
118,,,11,1,3,100,
119,,,13,4,3,100,
120,0,39,14,1,,,
