version,2,reserved,reserved,reserved,reserved,reserved,reserved
Black Diamond,XXX,,JTJ,2R9RCV9V,,LEAGUE,
25,,,,,,,
2017/02/27,,,,,,,
1,DarkEagle,11,2G9LL09U,110,,11,110
2,DarthCarlos11,11,RVQRQL2Y,110,,11,110
3,CactusClan,10,2PQ89PQ82,90,,10,90
4,Chris,10,229YCRYQV,90,,10,90
5,Sno,10,GQV9G9VV,90,,10,90
6,Aboy,10,VQ9PUJV2,90,,10,90
7,SwuTangClan,10,8G9LVLP0,90,,10,90
8,Nato,10,2PQ9OVQOV,90,,10,90
9,ThatAmagnus,10,GPGQC89C,90,,10,90
10,Chop Chef Jr,9,82U9J8C,70,,9,70
11,Dirk N,9,8Y8V8J9C,70,,9,70
12,Lacey Clan,9,R08YP9Q8,70,,9,70
13,Ohio-Legend-216,9,29QLGYC9Q,70,,9,70
14,Whooboy,9,22UOVV2JJ,70,,9,70
15,Jippieh Yeah,9,YCYV88UV,70,,9,70
16,Dada 1974,9,GQ0JCQJQ,70,,9,70
17,Steves Cheese,9,YGGUQCG9,70,,9,70
18,Avra's Secret,9,28LYQPRG,70,,9,70
19,Captain America,9,G9YRJ09,70,,9,70
20,sharent,9,YGQQ89LR,70,,9,70
21,RedACE,9,GRJLGCUQ,70,,9,70
22,king necto,9,V8QRQU9Y,70,,9,70
23,michael,9,VU2V9CLV,70,,9,70
24,Poz,9,PPRYLOUY,70,,9,70
25,Joe,9,LG9GQQJ8,70,,9,70
1,1,56,8,1,,,
2,2,62,7,1,,,
3,1,44,5,2,,,
4,0,39,8,2,,,
5,2,62,17,3,,,
6,2,61,17,4,,,
7,3,100,2,5,,,
8,3,100,2,6,,,
9,3,100,1,7,,,
10,3,100,1,8,,,
11,2,52,7,9,,,
12,1,87,18,10,,,
13,3,100,5,10,,,
14,1,58,25,11,,,
15,3,100,6,11,,,
16,3,100,6,12,,,
17,3,100,13,13,,,
18,1,76,19,14,,,
19,3,100,21,14,,,
20,1,63,11,15,,,
21,2,86,12,15,,,
22,3,100,4,15,,,
23,2,74,20,16,,,
24,2,88,13,16,,,
25,3,100,4,16,,,
26,1,81,11,17,,,
27,3,100,21,17,,,
28,2,99,19,18,,,
29,3,100,14,18,,,
30,1,80,18,19,,,
31,3,100,14,19,,,
32,2,94,23,20,,,
33,2,85,10,20,,,
34,2,91,23,21,,,
35,3,100,9,21,,,
36,2,91,22,22,,,
37,2,99,16,22,,,
38,2,98,15,22,,,
39,3,100,3,22,,,
40,2,99,24,23,,,
41,2,64,10,23,,,
42,2,93,12,23,,,
43,2,97,25,23,,,
44,1,90,3,23,,,
45,3,100,9,23,,,
46,0,23,15,23,,,
47,2,89,22,24,,,
48,3,100,20,24,,,
49,2,98,24,25,,,
50,3,100,16,25,,,
51,,,7,1,3,100,
52,,,6,1,3,100,
53,,,3,2,2,97,
54,,,6,2,2,87,
55,,,8,3,2,96,
56,,,5,3,3,100,
57,,,5,4,0,11,
58,,,8,4,2,95,
59,,,9,5,3,100,
60,,,6,5,1,55,
61,,,8,6,1,60,
62,,,5,6,2,80,
63,,,8,7,1,50,
64,,,7,7,1,62,
65,,,2,8,2,59,
66,,,6,8,0,46,
67,,,1,9,2,55,
68,,,5,9,2,69,
69,,,12,10,3,100,
70,,,10,10,3,100,
71,,,8,11,0,48,
72,,,4,11,2,70,
73,,,14,12,3,100,
74,,,15,12,3,100,
75,,,13,13,3,100,
76,,,11,13,3,100,
77,,,7,14,2,64,
78,,,6,14,0,47,
79,,,18,15,2,88,
80,,,22,15,3,100,
81,,,23,16,3,100,
82,,,17,16,3,100,
83,,,9,17,1,50,
84,,,6,17,0,40,
85,,,25,18,3,100,
86,,,5,18,2,57,
87,,,18,19,2,73,
88,,,20,19,3,100,
89,,,18,20,3,100,
90,,,21,20,3,100,
91,,,19,21,3,100,
92,,,16,21,3,100,
93,,,18,22,2,81,
94,,,8,22,0,49,
95,,,21,23,1,85,
96,,,17,23,2,73,
97,,,8,24,1,38,
98,,,25,24,2,94,
99,,,25,25,1,36,
100,,,24,25,3,100,
