version,2,reserved,reserved,reserved,reserved,reserved,reserved
Red Onslaught,2V99GJ2U,,JTJ,2R9RCV9V,,S8,
25,,,,,,,
2017/02/28,,,,,,,
1,DarkEagle,11,2G9LL09U,110,,11,108
2,DarthCarlos11,11,RVQRQL2Y,110,,11,108
3,Chris,10,229YCRYQV,90,,10,89
4,Sno,10,GQV9G9VV,90,,10,89
5,Aboy,10,VQ9PUJV2,90,,10,87
6,SwuTangClan,10,8G9LVLP0,90,,10,86
7,Nato,10,2PQ9OVQOV,90,,10,85
8,Dang,10,R2RRRQ9Y,90,,10,85
9,Eleazar,10,C8GRJVL0,90,,9,70
10,Leah's Daddy Time,9,2YQ00J0CR,70,,9,70
11,Dirk N,9,8Y8V8J9C,70,,9,70
12,Lacey Clan,9,R08YP9Q8,70,,9,70
13,cuVaX,9,U8CJQRRC,70,,9,70
14,Ohio-Legend-216,9,29QLGYC9Q,70,,9,70
15,Whooboy,9,22UOVV2JJ,70,,9,69
16,Amagnus,9,JVQ8JPQV,70,,9,69
17,Avra's Secret,9,28LYQPRG,70,,9,69
18,Captain America,9,G9YRJ09,70,,9,69
19,sharent,9,YGQQ89LR,70,,9,69
20,King Necto,9,V8QRQU9Y,70,,9,69
21,RedACE,9,GRJLGCUQ,70,,9,68
22,Darth,9,VYY2PCJJ,70,,9,67
23,Michael,9,VU2V9CLV,70,,9,67
24,Poz,9,PPRYLOUY,70,,9,66
25,Joe,9,LG9GQQJ8,70,,9,65
1,,,12,14,2,64,
2,,,22,21,3,100,
3,,,16,17,2,73,
4,2,76,18,9,,,
5,3,100,20,25,,,
6,2,93,24,23,,,
7,2,95,11,12,,,
8,,,20,17,2,68,
9,,,13,20,2,72,
10,,,15,21,3,100,
11,2,91,15,20,,,
12,2,97,25,17,,,
13,3,100,22,24,,,
14,,,21,24,2,69,
15,,,10,9,1,71,
16,,,12,20,1,86,
17,3,100,13,11,,,
18,3,100,15,17,,,
19,1,60,24,22,,,
20,2,53,4,2,,,
21,2,63,22,23,,,
22,1,86,13,14,,,
23,,,14,12,1,89,
24,,,23,22,2,62,
25,1,47,7,1,,,
26,,,25,24,3,100,
27,1,49,4,1,,,
28,,,19,16,2,86,
29,3,100,11,18,,,
30,,,12,9,3,100,
31,3,100,1,4,,,
32,3,100,1,5,,,
33,,,10,14,3,100,
34,3,100,21,10,,,
35,,,21,22,1,81,
36,,,1,3,1,40,
37,3,100,16,20,,,
38,,,2,3,0,42,
39,2,97,14,16,,,
40,3,100,21,14,,,
41,2,75,25,16,,,
42,2,98,23,21,,,
43,3,100,17,19,,,
44,3,100,10,22,,,
45,2,88,16,15,,,
46,,,24,13,2,79,
47,,,11,10,2,69,
48,,,17,12,2,91,
49,2,76,14,15,,,
50,3,100,17,12,,,
51,2,65,10,15,,,
52,,,23,13,3,100,
53,2,90,6,8,,,
54,,,13,11,3,100,
55,,,1,7,2,50,
56,,,14,11,3,100,
57,3,100,19,21,,,
58,,,2,7,2,54,
59,,,24,18,3,100,
60,,,19,18,2,70,
61,,,16,10,2,99,
62,3,100,19,15,,,
63,1,56,7,8,,,
64,3,100,23,23,,,
65,,,18,23,3,100,
66,1,49,12,3,,,
67,,,16,15,3,100,
68,,,20,16,3,100,
69,3,100,9,13,,,
70,,,11,19,2,86,
71,,,19,15,3,100,
72,1,75,12,9,,,
73,1,98,3,8,,,
74,3,100,20,16,,,
75,,,17,25,2,91,
76,2,68,8,7,,,
77,,,11,25,1,65,
78,,,21,23,3,100,
79,,,5,2,2,94,
80,,,8,4,2,84,
81,,,17,19,3,100,
82,,,11,8,2,94,
83,3,100,9,9,,,
84,,,9,4,3,100,
85,,,8,5,3,100,
86,2,64,6,1,,,
87,,,7,8,1,75,
88,2,76,8,3,,,
89,,,11,6,3,100,
90,1,91,3,7,,,
91,,,3,1,3,100,
92,3,100,2,6,,,
93,,,6,5,2,84,
94,2,94,5,8,,,
95,2,67,18,7,,,
96,1,64,5,7,,,
97,,,7,6,2,57,
98,3,100,2,7,,,
99,,,6,2,3,100,
100,,,4,1,3,100,
