version,2,reserved,reserved,reserved,reserved,reserved,reserved
Fantasy,229UCRYY,,JTJ,2R9RCV9V,,S8,
30,,,,,,,
2017/03/02,,,,,,,
1,DarkEagle,11,2G9LL09U,110,,11,102
2,DarthCarlos11,11,RVQRQL2Y,110,,11,101
3,Chris,10,229YCRYQV,90,,11,100
4,Sno,10,GQV9G9VV,90,,11,100
5,Aboy,10,VQ9PUJV2,90,,11,99
6,SwuTangClan,10,8G9LVLP0,90,,11,99
7,Nato,10,2PQ9OVQOV,90,,11,97
8,ThatAmagnus,10,GPGQC89C,90,,11,94
9,Corey,10,GLJRRGV9,90,,10,82
10,Dang,10,R2RRRQ9Y,90,,10,81
11,Eleazar,10,C8GRJVL0,90,,10,81
12,Leah's Daddy Time,9,2YQ00J0CR,70,,10,80
13,Dirk N,9,8Y8V8J9C,70,,10,80
14,Lacey Clan,9,R08YP9Q8,70,,10,78
15,cuVaX,9,U8CJQRRC,70,,10,75
16,Ohio-Legend-216,9,29QLGYC9Q,70,,10,69
17,Whooboy,9,22UOVV2JJ,70,,9,67
18,Amagnus,9,JVQ8JPQV,70,,9,67
19,Jippieh Yeah,9,YCYV88UV,70,,9,67
20,Avra's Secret,9,28LYQPRG,70,,9,67
21,sharent,9,YGQQ89LR,70,,9,66
22,Double G,9,JY8R9G9U,70,,9,66
23,King Necto,9,V8QRQU9Y,70,,9,65
24,RedACE,9,GRJLGCUQ,70,,9,65
25,Darth,9,VYY2PCJJ,70,,9,64
26,michael,9,VU2V9CLV,70,,9,64
27,Ellen,9,2PLYGVQ20,70,,9,64
28,Swu2,9,ULYCYCRR,70,,9,62
29,Poz,9,PPRYLOUY,70,,9,60
30,Joe,9,LG9GQQJ8,70,,9,58
1,,,10,6,1,46,
2,3,100,27,21,,,
3,3,100,20,19,,,
4,,,11,4,1,48,
5,1,76,22,22,,,
6,3,100,30,17,,,
7,,,30,29,1,36,
8,3,100,29,23,,,
9,3,100,7,9,,,
10,2,59,4,1,,,
11,3,100,20,16,,,
12,3,100,27,18,,,
13,,,29,8,1,48,
14,2,76,17,20,,,
15,3,100,5,7,,,
16,3,100,22,25,,,
17,3,100,29,27,,,
18,1,77,7,10,,,
19,,,28,29,0,44,
20,,,24,4,2,64,
21,3,100,26,26,,,
22,3,100,3,1,,,
23,3,100,13,24,,,
24,3,100,18,20,,,
25,3,100,15,28,,,
26,3,100,14,15,,,
27,2,85,3,5,,,
28,3,100,17,22,,,
29,1,81,15,14,,,
30,1,73,13,13,,,
31,3,100,9,8,,,
32,1,66,14,12,,,
33,,,23,10,2,77,
34,3,100,23,29,,,
35,3,100,4,14,,,
36,3,100,28,30,,,
37,2,92,9,2,,,
38,,27,8,1,16,,
39,3,100,24,19,,,
40,1,64,28,12,,,
41,2,72,25,11,,,
42,3,100,1,4,,,
43,3,100,24,16,,,
44,3,100,1,3,,,
45,,,22,10,2,72,
46,2,75,23,13,,,
47,2,67,26,12,,,
48,3,100,12,16,,,
49,,,9,6,0,39,
50,,,12,14,0,25,
51,0,48,25,12,,,
52,2,95,12,15,,,
53,2,84,6,2,,,
54,,,13,11,1,45,
55,,,25,20,2,54,
56,1,53,18,10,,,
57,3,100,30,16,,,
58,2,81,11,12,,,
59,3,100,16,26,,,
60,0,24,21,6,,,
61,,,26,12,2,62,
62,,,14,16,2,74,
63,1,7,21,26,,,
64,,,28,22,2,52,
65,1,76,6,10,,,
66,3,100,11,11,,,
67,,,15,14,0,11,
68,3,100,10,1,,,
69,,,21,3,2,64,
70,,,7,3,1,40,
71,3,100,10,13,,,
72,1,55,16,10,,,
73,1,57,19,10,,,
74,3,100,8,10,,,
75,3,100,2,6,,,
76,3,100,8,12,,,
77,3,100,2,5,,,
78,3,100,19,21,,,
79,3,100,5,2,,,
