version,2,reserved,reserved,reserved,reserved,reserved,reserved
JTJ2,PQP2GR9C,,JTJ,2R9RCV9V,,S8,
30,,,,,,,
2017/03/03,,,,,,,
1,DarkEagle,11,2G9LL09U,110,,11,110
2,DarthCarlos11,11,RVQRQL2Y,110,,11,110
3,CactusClan,10,2PQ89PQ82,90,,10,90
4,Atlas,10,RJ9PJ9CC,90,,10,90
5,ThatAmagnus,10,GPGQC89C,90,,10,90
6,Corey,10,GLJRRGV9,90,,9,70
7,Eleazar,10,C8GRJVL0,90,,9,70
8,Leah's Daddy Time,9,2YQ00J0CR,70,,9,70
9,Chop Chef Jr,9,82U9J8C,70,,9,70
10,Dirk N,9,8Y8V8J9C,70,,9,70
11,Lacey Clan,9,R08YP9Q8,70,,9,70
12,cuVaX,9,U8CJQRRC,70,,9,70
13,Ohio-Legend-216,9,29QLGYC9Q,70,,9,70
14,Batman,9,2QU9CC8,70,,9,70
15,Whooboy,9,22UOVV2JJ,70,,9,70
16,Amagnus,9,JVQ8JPQV,70,,9,70
17,Jippieh Yeah,9,YCYV88UV,70,,9,70
18,Dada 1974,9,GQ0JCQJQ,70,,9,70
19,Avra's Secret,9,28LYQPRG,70,,9,70
20,sharent,9,YGQQ89LR,70,,9,70
21,Double G,9,JY8R9G9U,70,,9,70
22,King Necto,9,V8QRQU9Y,70,,9,70
23,RedACE,9,GRJLGCUQ,70,,9,70
24,Darth,9,VYY2PCJJ,70,,9,70
25,michael,9,VU2V9CLV,70,,9,70
26,ellen,9,2PLYGVQ20,70,,9,70
27,Swu2,9,ULYCYCRR,70,,9,70
28,Poz,9,PPRYLOUY,70,,9,70
29,Joe,9,LG9GQQJ8,70,,9,70
30,Aila42,9,2QPRPGVVG,70,,9,70
1,1,56,12,6,,,
2,3,100,21,30,,,
3,,,26,26,3,100,
4,3,100,11,11,,,
5,3,100,12,10,,,
6,3,100,10,9,,,
7,2,89,11,13,,,
8,2,89,15,16,,,
9,,,20,20,2,72,
10,3,100,29,22,,,
11,,,27,26,2,79,
12,3,100,30,28,,,
13,,,27,28,3,100,
14,2,99,16,16,,,
15,2,99,30,25,,,
16,2,56,22,19,,,
17,,,22,22,1,84,
18,3,100,29,27,,,
19,,,10,13,2,94,
20,,,24,28,1,51,
21,2,97,23,15,,,
22,2,86,23,6,,,
23,,,30,12,2,94,
24,,,8,6,3,100,
25,3,100,22,24,,,
26,2,98,28,23,,,
27,,,30,29,3,100,
28,,,9,6,3,100,
29,3,100,10,12,,,
30,2,96,28,26,,,
31,3,100,13,18,,,
32,3,100,19,7,,,
33,2,89,15,14,,,
34,2,86,26,26,,,
35,,,29,12,3,100,
36,3,100,26,25,,,
37,3,100,25,29,,,
38,3,100,8,20,,,
39,,,7,10,2,91,
40,2,78,25,26,,,
41,3,100,8,16,,,
42,,,25,24,3,100,
43,,,11,11,2,98,
44,3,100,19,15,,,
45,,,23,29,3,100,
46,3,100,21,21,,,
47,3,100,27,26,,,
48,,,15,13,2,98,
49,3,100,27,19,,,
50,3,100,13,6,,,
51,2,62,4,2,,,
52,,,4,2,3,100,
53,,,3,2,3,100,
54,,,13,8,1,59,
55,,,12,8,2,80,
56,,,1,3,1,62,
57,,,2,30,0,18,
58,2,98,16,14,,,
59,2,93,20,17,,,
60,,,5,30,0,26,
61,3,100,20,23,,,
62,1,82,14,8,,,
63,3,100,7,8,,,
64,2,89,14,17,,,
65,1,73,18,14,,,
66,,,16,16,2,81,
67,3,100,17,13,,,
68,,,28,25,1,54,
69,2,84,18,17,,,
70,,,14,24,2,64,
71,2,82,24,17,,,
72,3,100,7,14,,,
73,,,18,11,2,84,
74,,,19,27,1,52,
75,,,2,1,0,44,
76,,,22,25,1,45,
77,,,14,23,3,100,
78,,,28,27,2,77,
79,2,60,4,1,,,
80,2,78,9,17,,,
81,3,100,1,3,,,
82,3,100,1,4,,,
83,,,19,23,2,91,
84,2,51,9,5,,,
85,3,100,6,17,,,
86,,,13,7,2,77,
87,2,56,24,5,,,
88,,,13,10,3,100,
89,,,17,14,1,62,
90,1,78,5,5,,,
91,,,21,18,2,82,
92,,,15,20,2,77,
93,,,24,15,2,65,
94,2,61,6,5,,,
95,,,17,17,2,76,
96,,,28,19,2,70,
97,,,21,19,2,89,
98,1,88,5,4,,,
99,2,92,3,5,,,
100,,,5,4,2,53,
101,2,57,3,1,,,
102,,,22,15,2,80,
103,,,19,17,2,98,
104,,,6,5,3,100,
105,,,5,5,2,51,
106,3,100,2,5,,,
107,,,18,16,3,100,
108,,,20,7,1,57,
109,2,91,2,2,,,
110,3,100,17,20,,,
111,,,1,1,1,55,
112,,,2,3,0,37,
