version,2,reserved,reserved,reserved,reserved,reserved,reserved
North Awakens,P9VVPYC2,,JTJ,2R9RCV9V,,S8,
30,,,,,,,
2017/03/16,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,,11,109
2,DarthCarlos11,11,RVQRQL2Y,110,,11,108
3,Space12345,10,8002Y989,90,,11,105
4,CactusClan,10,2PQ89PQ82,90,,10,90
5,Chris,10,229YCRYQV,90,,10,89
6,Sno,10,GQV9G9VV,90,,10,89
7,SwuTangClan,10,8G9LVLP0,90,,10,89
8,Aboy,10,VQ9PUJV2,90,,10,88
9,Nato,10,2PQ9OVQOV,90,,10,88
10,ThatAmagnus,10,GPGQC89C,90,,10,87
11,Corey,10,GLJRRGV9,90,,10,83
12,Eleazar,10,C8GRJVL0,90,,10,70
13,Leah's Daddy Time,9,2YQ00J0CR,70,,9,70
14,Chop Chef Jr,9,82U9J8C,70,,9,70
15,Dirk N,9,8Y8V8J9C,70,,9,70
16,cuVaX,9,U8CJQRRC,70,,9,70
17,Ohio-Legend-216,9,29QLGYC9Q,70,,9,69
18,vtechno,9,RGRUPCV2,70,,9,69
19,Batman,9,2QU9CC8,70,,9,69
20,Whooboy,9,22UOVV2JJ,70,,9,69
21,Amagnus,9,JVQ8JPQV,70,,9,69
22,Avra's Secret,9,28LYQPRG,70,,9,69
23,Double G,9,JY8R9G9U,70,,9,69
24,sharent,9,YGQQ89LR,70,,9,69
25,King Necto,9,V8QRQU9Y,70,,9,69
26,RedACE,9,GRJLGCUQ,70,,9,69
27,Darth,9,VYY2PCJJ,70,,9,69
28,Poz,9,PPRYLOUY,70,,9,69
29,Swu2,9,ULYCYCRR,70,,9,69
30,Joe,9,LG9GQQJ8,70,,9,69
1,2,86,22,17,,,
2,3,100,15,22,,,
3,2,99,19,16,,,
4,,,30,30,2,93,
5,,,14,13,3,100,
6,,,25,24,2,97,
7,,,29,30,2,74,
8,2,80,18,15,,,
9,2,78,23,25,,,
10,,,26,25,1,56,
11,2,64,16,19,,,
12,,,18,13,3,100,
13,3,100,28,28,,,
14,2,99,25,27,,,
15,,,1,7,2,58,
16,,,16,18,3,100,
17,3,100,20,19,,,
18,3,100,17,18,,,
19,3,100,18,20,,,
20,,,24,27,3,100,
21,2,50,23,9,,,
22,3,100,27,29,,,
23,2,98,28,26,,,
24,1,91,9,11,,,
25,3,100,30,23,,,
26,,,2,9,0,44,
27,3,100,25,30,,,
28,,,17,18,2,63,
29,,,26,17,2,79,
30,1,91,6,11,,,
31,,,19,16,2,81,
32,,,22,20,2,85,
33,,,30,28,3,100,
34,,,17,17,3,100,
35,,,20,15,3,100,
36,,,15,20,3,100,
37,2,65,6,1,,,
38,,,26,28,1,70,
39,,,3,3,3,100,
40,,,13,15,2,90,
41,2,64,9,3,,,
42,2,72,15,21,,,
43,3,100,29,27,,,
44,,,27,23,1,59,
45,1,93,20,21,,,
46,,,4,2,2,84,
47,2,94,30,24,,,
48,1,91,16,14,,,
49,,,2,10,2,54,
50,,,6,27,2,70,
51,3,100,26,14,,,
52,,,28,26,3,100,
53,3,100,29,25,,,
54,3,100,22,15,,,
55,2,78,26,21,,,
56,3,100,13,24,,,
57,,,27,26,3,100,
58,3,100,21,21,,,
59,3,100,27,26,,,
60,,,23,19,0,43,
61,2,98,24,16,,,
62,2,53,4,2,,,
63,3,100,24,17,,,
64,3,100,21,13,,,
65,3,100,17,12,,,
66,,,26,23,2,82,
67,1,68,3,10,,,
68,,,19,24,1,68,
69,2,73,19,5,,,
70,,,22,12,3,100,
71,,,13,21,2,99,
72,,,21,21,3,100,
73,,,19,22,1,93,
74,2,89,13,16,,,
75,,,29,25,1,97,
76,,,29,14,3,100,
77,,,23,16,2,90,
78,,,6,2,3,100,
79,,,19,12,3,100,
80,,,11,7,0,32,
81,2,93,14,16,,,
82,,,25,22,2,90,
83,,,26,11,3,100,
84,,,25,19,2,98,
85,1,49,14,4,,,
86,,,11,8,3,100,
87,,,13,10,3,100,
88,2,59,11,9,,,
89,3,100,12,16,,,
90,,,23,14,2,62,
91,,,12,9,2,80,
92,3,100,4,11,,,
93,0,46,11,10,,,
94,1,48,12,8,,,
95,3,100,2,8,,,
96,,,23,4,3,100,
97,1,73,8,10,,,
98,,,10,29,1,45,
99,2,78,8,7,,,
100,,,10,6,1,50,
101,,,10,8,1,62,
102,2,61,5,9,,,
103,,,5,29,2,56,
104,1,55,10,9,,,
105,,,12,4,2,86,
106,,,12,6,3,100,
107,2,60,10,10,,,
108,,,8,1,3,100,
109,2,62,5,10,,,
110,,,9,5,2,90,
111,1,57,7,9,,,
112,2,80,1,4,,,
113,,,7,3,3,100,
114,2,94,7,7,,,
115,,,10,5,2,80,
116,,,5,1,3,100,
117,,,25,11,3,100,
118,1,66,3,9,,,
119,2,87,1,6,,,
120,2,89,2,10,,,
