Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Quality Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Chris,10,9,30,3.33333,34,3.77778,5,5,3,4,18,30,35.7,1.66667,34,1.88889,77.7222,5,0.277778,1,1,2,2,2,0,0,0,0,75,7,10,13,1.85714,1,0.142857,2,0.285714,86.1429,4,12,12,3,4,1,2,0.5,100,6,6,7,1.16667,0,0,1,0.166667,53.5,12,27,2.25,77.5833,4,0,1.32959,4,8,0,2,67.5,0,4,11,3,2.75,97.75,0,4,8,1,2,67.5,0,
Czech1Czech2,9,1,2,2,4,4,0,0,0,0,2,2,5,1,4,2,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,59,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,1,57,1,3,3,100,1,0,1,1,3,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
Whooboy,9,12,57,4.75,66,5.5,19,0,10,0,24,57,67.2,2.375,66,2.75,97.4583,19,0.791667,1,2,3,5,2.5,1,0.5,0,0,96.5,21,54,59,2.80952,18,0.857143,3,0.142857,98.6667,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,74,22,53,2.40909,92.9545,12,0,1.83213,22,53,12,2.40909,92.9545,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aran,9,4,15,3.75,19,4.75,5,0,3,1,8,15,18.9,1.875,19,2.375,89.125,5,0.625,0,2,3,5,2.5,1,0.5,0,0,86.5,6,12,14,2.33333,4,0.666667,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,2.42857,86.1429,4,0,1.81071,6,14,3,2.33333,83.8333,0,1,3,1,3,100,0,0,0,0,0,0,0,
Avra's Secret,9,12,41,3.41667,56,4.66667,13,0,9,0,24,41,56,1.70833,56,2.33333,92.0417,13,0.541667,2,0,0,0,0,0,0,0,0,0,24,41,56,2.33333,13,0.541667,9,0.375,92.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,52,2.47619,93.3333,12,0,1.75,21,52,12,2.47619,93.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ren9,9,2,9,4.5,11,5.5,3,0,2,0,4,9,11,2.25,11,2.75,96.5,3,0.75,0,0,0,0,0,0,0,0,0,0,4,9,11,2.75,3,0.75,3,0.75,96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,2.5,97,2,0,2,4,10,2,2.5,97,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ohio-Legend-216,9,13,18,1.38462,52,4,6,0,7,1,26,18,51.8,0.692308,52,2,83.0385,6,0.230769,3,2,0,4,2,0,0,0,0,80.5,24,18,48,2,6,0.25,5,0.208333,83.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,53,2.65,91,13,0,1.55934,19,50,12,2.63158,90.5263,0,1,3,1,3,100,0,0,0,0,0,0,0,
DarkEagle,11,9,35,3.88889,42,4.66667,10,11,12,0,18,35,24,1.94444,42,2.33333,90.8889,10,0.555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,35,42,2.33333,10,0.555556,6,0.333333,90.8889,0,0,0,0,0,0,0,0,0,21,19,0.904762,46.9524,0,9,1.88768,1,1,0,1,58,0,0,0,0,0,0,0,20,18,0,0.9,46.4,9,
UTiger13,9,11,33,3,51,4.63636,11,0,7,1,22,33,52,1.5,51,2.31818,90,11,0.5,0,2,3,5,2.5,1,0.5,1,0.5,96.5,19,30,44,2.31579,10,0.526316,7,0.368421,90.4737,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,68,18,43,2.38889,91.1667,11,0,1.66234,17,40,10,2.35294,90.6471,0,1,3,1,3,100,0,0,0,0,0,0,0,
ellen,9,5,9,1.8,23,4.6,3,0,5,0,10,9,23,0.9,23,2.3,96,3,0.3,5,0,0,0,0,0,0,0,0,0,10,9,23,2.3,3,0.3,2,0.2,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,2.4,86.6,6,0,2,10,24,6,2.4,86.6,0,0,0,0,0,0,0,0,0,0,0,0,0,
CactusClan,10,3,13,4.33333,14,4.66667,3,1,1,3,6,13,11,2.16667,14,2.33333,83,3,0.5,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,1,56,4,9,10,2.5,3,0.75,0,0,97.5,1,2,2,2,0,0,0,0,52,4,8,2,86.5,2,1,1.48148,0,0,0,0,0,0,3,8,2,2.66667,99,0,1,0,0,0,49,1,
Nato,10,7,21,3,24,3.42857,5,4,15,4,14,21,24,1.5,24,1.71429,72.8571,5,0.357143,0,0,0,0,0,0,0,0,0,0,2,4,4,2,0,0,2,1,74.5,6,15,17,2.83333,5,0.833333,0,0,98.1667,6,2,3,0.5,0,0,0,0,47,22,36,1.63636,68.6364,3,2,3.04762,11,18,0,1.63636,69.4545,0,4,11,3,2.75,94.25,0,7,7,0,1,52.7143,2,
Batman,9,11,33,3,52,4.72727,11,3,6,2,22,33,52,1.5,52,2.36364,88.6364,11,0.5,2,0,0,0,0,0,0,0,0,0,22,33,52,2.36364,11,0.5,4,0.181818,88.6364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,40,2.5,91.125,10,0,1.50649,14,34,8,2.42857,89.8571,0,2,6,2,3,100,0,0,0,0,0,0,0,
Leah's Daddy Time,9,9,11,1.22222,30,3.33333,3,0,8,0,18,11,37.9,0.611111,30,1.66667,72.7222,3,0.166667,2,0,0,0,0,0,0,0,0,0,10,9,20,2,3,0.3,2,0.2,88.4,0,0,0,0,0,0,0,0,0,8,2,10,1.25,0,0,1,0.125,53.125,17,42,2.47059,88.5294,9,0,1.88723,17,42,9,2.47059,88.5294,0,0,0,0,0,0,0,0,0,0,0,0,0,
Space12345,10,12,26,2.16667,38,3.16667,3,8,7,9,24,26,46.7,1.08333,38,1.58333,68.3333,3,0.125,2,0,0,0,0,0,0,0,0,0,13,14,23,1.76923,2,0.153846,4,0.307692,76.3846,1,3,3,3,1,1,0,0,100,10,9,12,1.2,0,0,3,0.3,54.7,19,35,1.84211,72,4,3,1.63722,4,4,0,1,54.75,2,9,22,4,2.44444,92.3333,0,6,9,0,1.5,53,1,
Dirk D,10,1,5,5,5,5,1,0,0,1,2,5,5,2.5,5,2.5,77.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,5,5,2.5,1,0.5,1,0.5,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,100,1,0,1.22222,0,0,0,0,0,0,1,3,1,3,100,0,0,0,0,0,0,0,
Chop Chef Jr,9,11,6,0.545455,36,3.27273,2,3,6,0,20,6,36,0.3,36,1.8,76.4,2,0.1,2,0,0,0,0,0,0,0,0,0,20,6,36,1.8,2,0.1,0,0,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,41,2.5625,94.25,10,0,1.45455,16,41,10,2.5625,94.25,0,0,0,0,0,0,0,0,0,0,0,0,0,
SwuTangClan,10,12,26,2.16667,35,2.91667,3,6,24,5,24,26,48.9,1.08333,35,1.45833,62.2917,3,0.125,1,0,0,0,0,0,0,0,0,0,10,13,21,2.1,3,0.3,2,0.2,76.6,0,0,0,0,0,0,0,0,0,14,13,14,1,0,0,3,0.214286,52.0714,36,60,1.66667,69.75,6,2,2.81609,16,28,2,1.75,77,0,5,13,4,2.6,95.6,0,15,19,0,1.26667,53.4,2,
Dirk N,9,13,51,3.92308,66,5.07692,17,0,21,5,26,51,65.9,1.96154,66,2.53846,91.3846,17,0.653846,1,2,3,5,2.5,1,0.5,1,0.5,93,24,48,61,2.54167,16,0.666667,12,0.5,91.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,77,2.26471,88.6471,13,0,2.72527,29,63,9,2.17241,86.7241,0,5,14,4,2.8,99.8,0,0,0,0,0,0,0,
Eleazar,10,1,3,3,5,5,1,0,0,0,2,3,3,1.5,5,2.5,94.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,2.5,1,0.5,0,0,94.5,0,0,0,0,0,0,0,0,0,1,3,3,100,1,0,1.01429,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,100,0,
