Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
TheDad,8,6,21,3.5,24,4,7,5,6,7,12,21,1.75,24,2,79.0833,7,0.583333,0,5,12,13,2.6,4,0.8,3,0.6,98.2,3,9,9,3,3,1,3,1,100,0,0,0,0,0,0,0,0,0,4,0,2,0.5,0,0,0,0,39.5,11,21,1.90909,86.6364,4,0,4,8,1,2,85,0,7,13,3,1.85714,87.5714,0,0,0,0,0,0,0,
TheDad,9,1,6,6,6,6,2,0,0,0,2,6,3,6,3,100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,1,3,3,100,1,0,1,3,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
Czech1Czech2,9,20,62,3.1,93,4.65,22,17,15,12,40,62,1.55,93,2.325,88.775,22,0.55,1,34,55,82,2.41176,20,0.588235,16,0.470588,91.9118,1,0,2,2,0,0,0,0,91,0,0,0,0,0,0,0,0,0,5,7,9,1.8,2,0.4,3,0.6,67,34,61,1.79412,74.5294,5,4,22,37,3,1.68182,73.0909,3,12,24,2,2,77.1667,1,0,0,0,0,0,0,
Mord,9,14,31,2.21429,49,3.5,9,18,11,0,27,31,1.14815,49,1.81481,76.1111,9,0.333333,0,21,26,41,1.95238,8,0.380952,2,0.0952381,79.2381,1,3,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,5,9,5,1,0,0,1,0.2,58.2,22,30,1.36364,67.0909,4,5,22,30,4,1.36364,67.0909,5,0,0,0,0,0,0,0,0,0,0,0,0,
Whooboy,9,22,52,2.36364,95,4.31818,19,19,12,2,44,52,1.18182,95,2.15909,82.7955,19,0.431818,3,32,44,73,2.28125,15,0.46875,4,0.125,86,6,6,15,2.5,4,0.666667,0,0,95.8333,0,0,0,0,0,0,0,0,0,6,11,7,1.16667,0,0,0,0,52.6667,33,62,1.87879,74.0606,6,2,31,58,6,1.87097,74.8064,2,2,4,0,2,62.5,0,0,0,0,0,0,0,
liam,8,12,24,2,42,3.5,12,6,15,11,24,24,1,42,1.75,71.0833,12,0.5,0,9,12,22,2.44444,6,0.666667,4,0.444444,94.1111,5,9,15,3,5,1,3,0.6,100,1,3,3,3,1,1,1,1,100,9,0,2,0.222222,0,0,0,0,28.7778,26,51,1.96154,83.8846,9,0,14,23,2,1.64286,79,0,11,27,7,2.45455,92.2727,0,1,1,0,1,60,0,
ren9,9,1,6,6,6,6,2,1,4,0,2,6,3,6,3,100,2,1,0,0,0,0,0,0,0,0,0,0,2,6,6,3,2,1,1,0.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,48.8,0,1,5,5,0,1,48.8,1,0,0,0,0,0,0,0,0,0,0,0,0,
Trav12,9,2,0,0,7,3.5,0,1,1,0,4,0,0,7,1.75,86.75,0,0,1,3,0,5,1.66667,0,0,0,0,88,1,0,2,2,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2.33333,81,1,0,3,7,1,2.33333,81,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jester,8,1,0,0,0,0,0,0,1,0,2,0,0,0,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,35.5,2,4,2,93.5,1,0,2,4,1,2,93.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
ritteshstark,8,23,78,3.3913,93,4.04348,27,14,21,12,46,78,1.69565,93,2.02174,75.8478,27,0.586957,1,15,30,38,2.53333,11,0.733333,7,0.466667,91.8667,13,30,35,2.69231,10,0.769231,10,0.769231,95.2308,1,3,3,3,1,1,1,1,100,17,15,17,1,5,0.294118,3,0.176471,45.4706,42,80,1.90476,75.5714,14,3,29,48,5,1.65517,68.6897,3,12,30,9,2.5,93.5,0,1,2,0,2,60,0,
