Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio
Butterburger,11,5,23,4.60,23,4.60,5,10,1,0,10,23,2.30,23,2.30,87.6,5,50%,1,6,5,0.83,42.7,0,2,1.065
Honey Badger,11,2,6,3.00,10,5.00,2,3,4,0,4,6,1.50,10,2.50,83.0,2,50%,0,6,9,1.50,64.8,0,0,2.994
Wryhorn,11,6,17,2.83,22,3.67,1,8,1,0,13,17,1.31,22,1.69,76.3,1,8%,2,7,11,1.57,54.3,0,0,1.029
,,,,,,,,,,,,,,,,,,,,,,,,,,
DarthCarlos10,10,1,6,6.00,6,6.00,2,0,0,1,2,6,3.00,6,3.00,100.0,2,100%,0,1,3,3.00,100.0,1,0,1.222
Darth Carlos,10,2,9,4.50,9,4.50,2,1,3,0,4,9,2.25,9,2.25,92.0,2,50%,1,5,5,1.00,46.0,1,3,2.781
SWuTangClan,10,6,21,3.50,26,4.33,7,8,1,2,12,21,1.75,26,2.17,87.3,7,58%,0,6,10,1.67,65.2,1,1,0.990
Space12345,10,3,10,3.33,11,3.67,2,2,1,2,6,10,1.67,11,1.83,70.7,2,33%,0,4,7,1.75,57.5,1,1,1.146
Chris,10,6,19,3.17,28,4.67,4,4,2,1,12,19,1.58,28,2.33,85.8,4,33%,2,8,16,2.00,71.5,3,1,1.232
Aboy,10,6,19,3.17,24,4.00,4,3,5,5,12,19,1.58,24,2.00,73.6,4,33%,0,11,22,2.00,76.8,3,1,1.977
ThatAmagnus,10,5,12,2.40,20,4.00,4,3,1,0,10,12,1.20,20,2.00,76.5,4,40%,0,6,13,2.17,80.0,2,0,1.431
Sno,10,2,4,2.00,6,3.00,1,1,2,2,4,4,1.00,6,1.50,69.3,1,25%,0,4,6,1.50,59.5,1,1,2.067
Atlas,10,3,6,2.00,11,3.67,2,2,1,2,6,6,1.00,11,1.83,69.7,2,33%,0,4,7,1.75,62.5,2,1,1.114
