Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Quality Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Akorra,9,1,6,6,6,6,2,0,0,1,2,6,5.7,3,6,3,100,2,1,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,1,1,100,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,1,3,3,100,1,0,0.985294,1,3,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris,10,9,16,1.77778,33,3.66667,4,7,2,7,18,16,32.3,0.888889,33,1.83333,82.5,4,0.222222,2,1,0,1,1,0,0,0,0,91,11,11,23,2.09091,3,0.272727,2,0.181818,82.9091,2,3,5,2.5,1,0.5,0,0,98.5,4,2,4,1,0,0,0,0,71.25,11,23,2.09091,75.2727,3,0,1.31154,4,7,0,1.75,72.25,0,6,15,3,2.5,80.8333,0,1,1,0,1,54,0,
Czech1Czech2,9,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,84,0,0,0,1,0,1,1,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,94,1,0,1.98571,2,4,1,2,94,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alpha Omega,9,1,0,0,4,4,0,0,2,3,2,0,3.6,0,4,2,89.5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,89.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2.33333,88.6667,1,0,3.27536,2,4,0,2,83,0,1,3,1,3,100,0,0,0,0,0,0,0,
Whooboy,9,9,20,2.22222,38,4.22222,6,5,4,7,18,20,44.6,1.11111,38,2.11111,84.0556,6,0.333333,1,1,0,2,2,0,0,0,0,98,11,15,26,2.36364,5,0.454545,0,0,90.8182,0,0,0,0,0,0,0,0,0,6,5,10,1.66667,1,0.166667,0,0,69.3333,13,29,2.23077,85.3077,5,0,1.57541,7,16,3,2.28571,86.5714,0,6,13,2,2.16667,83.8333,0,0,0,0,0,0,0,
Aran,9,5,17,3.4,22,4.4,5,4,1,2,10,17,25.8,1.7,22,2.2,89.7,5,0.5,1,0,0,0,0,0,0,0,0,0,6,15,16,2.66667,5,0.833333,3,0.5,96.1667,0,0,0,0,0,0,0,0,0,4,2,6,1.5,0,0,1,0.25,80,6,13,2.16667,79.8333,3,0,1.17714,4,7,1,1.75,69.75,0,1,3,1,3,100,0,1,3,1,3,100,0,
Avra's Secret,9,8,27,3.375,34,4.25,9,2,1,4,16,27,37.9,1.6875,34,2.125,88,9,0.5625,2,3,6,7,2.33333,2,0.666667,0,0,92.6667,9,18,21,2.33333,6,0.666667,4,0.444444,93.7778,0,0,0,0,0,0,0,0,0,4,3,6,1.5,1,0.25,1,0.25,71.5,9,24,2.66667,89.5556,6,0,1.15249,7,18,4,2.57143,86.5714,0,2,6,2,3,100,0,0,0,0,0,0,0,
Ren9,9,2,12,6,12,6,4,1,3,1,4,12,12.9,3,12,3,100,4,1,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,0,0,100,3,9,9,3,3,1,3,1,100,0,0,0,0,0,0,0,0,0,5,9,1.8,57.8,1,0,2.32308,3,6,1,2,54,0,0,0,0,0,0,0,2,3,0,1.5,63.5,0,
Ohio-Legend-216,9,9,18,2,34,3.77778,6,4,6,7,18,18,40.9,1,34,1.88889,82.2222,6,0.333333,4,4,6,10,2.5,2,0.5,1,0.25,94,8,12,18,2.25,4,0.5,1,0.125,93.375,0,0,0,0,0,0,0,0,0,6,0,6,1,0,0,0,0,59.5,15,33,2.2,78.9333,6,0,1.62381,9,18,2,2,72.4444,0,5,12,3,2.4,86.4,0,1,3,1,3,100,0,
Delta Kane,9,1,3,3,5,5,1,1,0,0,2,3,4.9,1.5,5,2.5,90,1,0.5,0,0,0,0,0,0,0,0,0,0,2,3,5,2.5,1,0.5,1,0.5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,51,0,0,0.955224,1,2,0,2,51,0,0,0,0,0,0,0,0,0,0,0,0,0,
