Player,TH,Total Wars,Total Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses
TheDad,8,5,18,21,4.2,6,5,4,4,10,18,21,2.1,82.4,6,0.6,0,5,12,13,2.6,4,0.8,3,0.6,98.2,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,3,0,2,0.666667,0,0,0,0,44.3333,8,16,2,85.25,3,0,4,8,1,2,85,0,4,8,2,2,85.5,0,0,0,0,0,0,0
Czech1Czech2,9,4,10,18,4.5,4,4,2,2,8,10,18,2.25,77.75,4,0.5,0,6,9,15,2.5,4,0.666667,2,0.333333,88.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1.5,0,0,1,0.5,44.5,6,9,1.5,64,0,1,4,5,0,1.25,66,1,2,4,0,2,60,0,0,0,0,0,0,0
Mord,9,4,5,12,3,1,6,4,0,7,5,12,1.71429,76.2857,1,0.142857,0,4,3,8,2,1,0.25,1,0.25,82.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,1.33333,0,0,1,0.333333,68.3333,7,7,1,59,1,3,7,7,1,1,59,3,0,0,0,0,0,0,0,0,0,0,0,0
Whooboy,9,4,5,16,4,2,3,2,1,8,5,16,2,78.625,2,0.25,2,4,3,9,2.25,2,0.5,0,0,88.25,1,0,2,2,0,0,0,0,99,0,0,0,0,0,0,0,0,0,3,5,5,1.66667,0,0,0,0,59,6,10,1.66667,72,1,1,5,8,1,1.6,73,1,1,2,0,2,67,0,0,0,0,0,0,0
liam,8,5,9,18,3.6,5,3,8,2,10,9,18,1.8,76.8,5,0.5,0,5,6,11,2.2,3,0.6,2,0.4,94.2,2,3,6,3,2,1,1,0.5,100,0,0,0,0,0,0,0,0,0,3,0,1,0.333333,0,0,0,0,32.3333,13,22,1.69231,77.8462,3,0,10,16,2,1.6,77.6,0,2,5,1,2.5,88,0,1,1,0,1,60,0
ren9,9,1,6,6,6,2,1,4,0,2,6,6,3,100,2,1,0,0,0,0,0,0,0,0,0,0,2,6,6,3,2,1,1,0.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,48.8,0,1,5,5,0,1,48.8,1,0,0,0,0,0,0,0,0,0,0,0,0
Jester,8,1,0,0,0,0,0,1,0,2,0,0,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,35.5,2,4,2,93.5,1,0,2,4,1,2,93.5,0,0,0,0,0,0,0,0,0,0,0,0,0
ritteshstark,8,5,21,23,4.6,7,5,4,0,10,21,23,2.3,86.4,7,0.7,0,7,15,17,2.42857,5,0.714286,4,0.571429,91.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,2,2,0.666667,0,0,74,9,15,1.66667,75.3333,1,0,8,13,1,1.625,77.25,0,0,0,0,0,0,0,1,2,0,2,60,0
Tukutae,9,4,12,17,4.25,4,2,5,0,8,12,17,2.125,85.625,4,0.5,2,1,0,1,1,0,0,0,0,52,7,12,16,2.28571,4,0.571429,4,0.571429,90.4286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,2,77.1111,2,0,9,18,2,2,77.1111,0,0,0,0,0,0,0,0,0,0,0,0,0
Simlin,9,5,15,25,5,5,5,1,0,10,15,25,2.5,91.4,5,0.5,1,3,6,8,2.66667,2,0.666667,1,0.333333,89,7,9,17,2.42857,3,0.428571,2,0.285714,92.4286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,1.83333,70,0,0,6,11,0,1.83333,70,0,0,0,0,0,0,0,0,0,0,0,0,0
